gene	NA	NA	Protein-RPE-1-21-3	NA
CAD	NA	NA	-0.05699966	NA
DDX18	NA	NA	-0.73014	NA
CCT4	NA	NA	-0.1488691	NA
SUMO1	NA	NA	-0.3362835	NA
FAM136A	NA	NA	0.4813641	NA
WDR12	NA	NA	-0.4869717	NA
AGFG1	NA	NA	-0.2184712	NA
KCMF1	NA	NA	0.2821053	NA
CEBPZ	NA	NA	-0.3048614	NA
ROCK2	NA	NA	-0.09922788	NA
MOGS	NA	NA	0.2495135	NA
MCFD2	NA	NA	-0.000432773	NA
HS1BP3	NA	NA	0.7303683	NA
UGP2	NA	NA	0.1795963	NA
MLTK	NA	NA	-0.4131597	NA
NUP35	NA	NA	-0.4260331	NA
FAHD2A	NA	NA	0.5458235	NA
FAHD2B	NA	NA	0.5458235	NA
GCC2	NA	NA	0.01173331	NA
NBAS	NA	NA	-0.03210086	NA
TIA1	NA	NA	-0.8774477	NA
RPE	NA	NA	0.3522894	NA
ANKZF1	NA	NA	0.3159174	NA
PRPF40A	NA	NA	-0.3924273	NA
FN1	NA	NA	-0.236707	NA
SEPT10	NA	NA	-0.3559184	NA
VRK2	NA	NA	-0.09180146	NA
MYO1B	NA	NA	-0.1717192	NA
ATG9A	NA	NA	-0.5785726	NA
PCYOX1	NA	NA	0.8883544	NA
MSH6	NA	NA	-0.7978432	NA
TP53I3	NA	NA	1.042366	NA
MOB4	NA	NA	0.0670619	NA
SSFA2	NA	NA	0.1189642	NA
SLC25A12	NA	NA	-0.01920365	NA
UGP2	NA	NA	NaN	NA
CLASP1	NA	NA	-0.2216915	NA
PPP1R21	NA	NA	0.7345151	NA
ITSN2	NA	NA	-0.2657969	NA
FHL2	NA	NA	-0.09410091	NA
RP11-427H3.3	NA	NA	0.1843425	NA
CERS6	NA	NA	NaN	NA
THADA	NA	NA	NaN	NA
GTF3C2	NA	NA	0.09614409	NA
PTMA	NA	NA	-1.007985	NA
SMEK2	NA	NA	-0.7215914	NA
RPL37A	NA	NA	-0.3828332	NA
HNRNPA3	NA	NA	-0.2957229	NA
LCLAT1	NA	NA	0.3695014	NA
HIBCH	NA	NA	0.1113834	NA
USP39	NA	NA	-0.5602258	NA
SNRNP200	NA	NA	-0.6055891	NA
PTRHD1	NA	NA	0.2422769	NA
ERLEC1	NA	NA	0.05851797	NA
ATG16L1	NA	NA	-0.0840642	NA
PREPL	NA	NA	-0.111699	NA
MRPL30	NA	NA	-0.1508196	NA
C2orf15	NA	NA	-0.1508196	NA
CHPF	NA	NA	0.574293	NA
ZNF638	NA	NA	-0.3979125	NA
TMEM214	NA	NA	-0.3919875	NA
RTN4	NA	NA	0.8444721	NA
SLC35F6	NA	NA	0.6089603	NA
HNRNPLL	NA	NA	NaN	NA
ATG4B	NA	NA	-0.119157	NA
EIF4E2	NA	NA	-0.2159892	NA
NCL	NA	NA	-0.6447793	NA
NIF3L1	NA	NA	0.08977389	NA
NDUFS1	NA	NA	-1.997581	NA
KIF1A	NA	NA	-0.1332931	NA
NRBP1	NA	NA	0.1848673	NA
MRPS9	NA	NA	-0.6228366	NA
GIGYF2	NA	NA	-0.3175355	NA
ADI1	NA	NA	-0.4181359	NA
SPEG	NA	NA	0.2624344	NA
CTNNA2	NA	NA	0.07319591	NA
GORASP2	NA	NA	-0.08854867	NA
PNPT1	NA	NA	-0.2531421	NA
ERCC3	NA	NA	0.1401809	NA
LRPPRC	NA	NA	-0.10742	NA
PTCD3	NA	NA	-0.8115533	NA
TMEM87B	NA	NA	0.0241938	NA
BZW1	NA	NA	-0.3260771	NA
LIMS1	NA	NA	0.1391087	NA
GULP1	NA	NA	-0.8828387	NA
ANXA4	NA	NA	0.7273557	NA
SMPD4	NA	NA	-0.4418005	NA
EXOC6B	NA	NA	0.5415549	NA
RAPH1	NA	NA	0.2631441	NA
SUCLG1	NA	NA	-0.2281107	NA
GTF3C2	NA	NA	NaN	NA
DIS3L2	NA	NA	0.1350791	NA
KIDINS220	NA	NA	0.1529812	NA
CEBPZ	NA	NA	-0.07854771	NA
MTERFD2	NA	NA	0.04073436	NA
HDLBP	NA	NA	NaN	NA
AUP1	NA	NA	0.1894664	NA
GIGYF2	NA	NA	NaN	NA
HIBCH	NA	NA	0.3669315	NA
MDH1	NA	NA	0.4022638	NA
MDH1	NA	NA	NaN	NA
AAK1	NA	NA	0.2307868	NA
DCTN1	NA	NA	0.235501	NA
GLS	NA	NA	NaN	NA
PPP3R1	NA	NA	0.002050124	NA
RGPD5	NA	NA	-0.3387952	NA
RGPD8	NA	NA	-0.3387952	NA
RGPD6	NA	NA	-0.3387952	NA
ITGAV	NA	NA	0.2276076	NA
NAGK	NA	NA	0.3220182	NA
WDR43	NA	NA	-0.3397074	NA
FYCO1	NA	NA	0.2812987	NA
NCEH1	NA	NA	-0.16221	NA
GMPPB	NA	NA	-0.3177671	NA
POLR2H	NA	NA	-0.123931	NA
LIMD1	NA	NA	0.330754	NA
ACTL6A	NA	NA	-0.2725011	NA
CAPN7	NA	NA	-0.9568001	NA
GNL3	NA	NA	-0.4272843	NA
UMPS	NA	NA	-0.1216787	NA
PDHB	NA	NA	0.06289662	NA
GOLGB1	NA	NA	-0.1882743	NA
UBP1	NA	NA	-0.2137517	NA
RBM5	NA	NA	-0.2571401	NA
MAPKAPK3	NA	NA	1.170607	NA
SLC33A1	NA	NA	0.09252473	NA
TEX264	NA	NA	-0.1235338	NA
OPA1	NA	NA	0.04562503	NA
PCCB	NA	NA	0.4152106	NA
LRRFIP2	NA	NA	0.09708518	NA
ARIH2	NA	NA	-0.07806329	NA
ATG7	NA	NA	0.06245975	NA
ARL6IP5	NA	NA	0.283773	NA
DYNC1LI1	NA	NA	0.1049922	NA
ATP6V1A	NA	NA	0.7414449	NA
ATP1B3	NA	NA	0.3529896	NA
SELT	NA	NA	-0.03280611	NA
DNAJB11	NA	NA	0.008392031	NA
SSR3	NA	NA	-0.1949696	NA
ACY1	NA	NA	0.3867324	NA
NT5DC2	NA	NA	-0.6134373	NA
OXSR1	NA	NA	-0.1523782	NA
TMF1	NA	NA	-0.163241	NA
ZNF148	NA	NA	-0.5954551	NA
USP4	NA	NA	-0.4689482	NA
EIF2B5	NA	NA	0.2443775	NA
PSMD2	NA	NA	-0.04558268	NA
MRPL3	NA	NA	0.04562503	NA
KPNA4	NA	NA	0.0341308	NA
ACAA1	NA	NA	0.7055939	NA
MRPS22	NA	NA	-0.3817263	NA
MRPS25	NA	NA	-0.3041606	NA
GOLGA4	NA	NA	-0.11703	NA
NDUFB5	NA	NA	-1.081917	NA
UQCRC1	NA	NA	-1.720103	NA
WDR6	NA	NA	-0.298541	NA
SLC25A20	NA	NA	NaN	NA
PSMD6	NA	NA	-0.04907315	NA
CDV3	NA	NA	0.09811949	NA
EXOSC7	NA	NA	-0.3526455	NA
LARS2	NA	NA	0.2687473	NA
ACAP2	NA	NA	0.3415508	NA
ALCAM	NA	NA	0.09358649	NA
TOMM70A	NA	NA	-0.1047392	NA
UBA5	NA	NA	-0.03407484	NA
APPL1	NA	NA	-0.1940871	NA
FXR1	NA	NA	-0.1972364	NA
RAB7A	NA	NA	0.3283624	NA
PRKCI	NA	NA	-0.07655907	NA
CTNNB1	NA	NA	0.1753869	NA
RFC4	NA	NA	-0.7720545	NA
RAP2B	NA	NA	0.7605774	NA
NAA50	NA	NA	-0.3460776	NA
ARL8B	NA	NA	NaN	NA
SEC62	NA	NA	-0.21661	NA
GTF2E1	NA	NA	-0.3742884	NA
ABHD10	NA	NA	0.3915503	NA
EMC3	NA	NA	-0.127105	NA
SLC4A7	NA	NA	-0.2469553	NA
EXOG	NA	NA	-0.1322478	NA
RUVBL1	NA	NA	-0.1301402	NA
H1FX	NA	NA	-1.505738	NA
ATG3	NA	NA	-0.1220763	NA
AP2M1	NA	NA	0.06233919	NA
SACM1L	NA	NA	0.05187754	NA
TBC1D5	NA	NA	0.8472423	NA
TFRC	NA	NA	-0.1722314	NA
PVRL3	NA	NA	0.7578824	NA
FAM162A	NA	NA	NaN	NA
PBRM1	NA	NA	-0.7318784	NA
RAB5A	NA	NA	0.2004318	NA
LPP	NA	NA	0.2802646	NA
PIK3R4	NA	NA	-0.1660726	NA
USP13	NA	NA	-0.6877306	NA
MCCC1	NA	NA	0.4125391	NA
HMCES	NA	NA	NaN	NA
KIF15	NA	NA	-1.405657	NA
STAG1	NA	NA	-0.716287	NA
BDH1	NA	NA	-0.7069946	NA
RPN1	NA	NA	-0.1076879	NA
TOP2B	NA	NA	-0.5635487	NA
DHX36	NA	NA	-0.3369689	NA
NCK1	NA	NA	-0.04362446	NA
CAMK1	NA	NA	0.4427517	NA
GSK3B	NA	NA	-0.0246034	NA
DAG1	NA	NA	-0.295488	NA
GMPS	NA	NA	-0.4046851	NA
SNX4	NA	NA	0.08617041	NA
RPL35A	NA	NA	-0.3678184	NA
ITGB5	NA	NA	0.4339544	NA
MRPL47	NA	NA	-0.05172011	NA
PIK3CA	NA	NA	0.06036321	NA
CMSS1	NA	NA	NaN	NA
NISCH	NA	NA	0.206362	NA
PLS1	NA	NA	0.2828774	NA
OSBPL11	NA	NA	-0.1783641	NA
CCDC58	NA	NA	-0.1192898	NA
RFT1	NA	NA	-0.3059871	NA
TAMM41	NA	NA	NaN	NA
CMTM7	NA	NA	0.9067644	NA
PRKAR2A	NA	NA	0.1970044	NA
TMEM41A	NA	NA	0.3341343	NA
ABHD14B	NA	NA	0.3938231	NA
FANCD2	NA	NA	NaN	NA
CPOX	NA	NA	0.3448497	NA
SUCLG2	NA	NA	0.07545923	NA
TRMT10C	NA	NA	0.07407661	NA
PPP4R2	NA	NA	-0.4232017	NA
PFN2	NA	NA	0.2856709	NA
U2SURP	NA	NA	-0.4877951	NA
C3orf38	NA	NA	0.1177561	NA
STT3B	NA	NA	-0.0515809	NA
MTMR14	NA	NA	-0.1439158	NA
DTX3L	NA	NA	0.4435096	NA
WDR82	NA	NA	-0.264116	NA
ACAD9	NA	NA	-0.1981169	NA
KIAA1524	NA	NA	-1.028923	NA
GFM1	NA	NA	0.0148056	NA
XPC	NA	NA	NaN	NA
DCP1A	NA	NA	-0.1625968	NA
PHLDB2	NA	NA	0.07859419	NA
PDE12	NA	NA	0.01343558	NA
RBM15B	NA	NA	-0.3538879	NA
MBNL1	NA	NA	NaN	NA
ALG3	NA	NA	0.2636301	NA
ZBTB20	NA	NA	NaN	NA
IGF2BP2	NA	NA	0.1508494	NA
GYG1	NA	NA	0.07886843	NA
NCBP2	NA	NA	-0.5812066	NA
ARF4	NA	NA	0.1477934	NA
EHHADH	NA	NA	-0.4858391	NA
MINA	NA	NA	-0.6663666	NA
SLC41A3	NA	NA	0.4924545	NA
FNDC3B	NA	NA	-0.1050075	NA
RRP9	NA	NA	-0.2497488	NA
SEC61A1	NA	NA	-0.1811663	NA
ITPR1	NA	NA	1.19856	NA
DLG1	NA	NA	0.1271477	NA
TNIK	NA	NA	0.01317954	NA
LSM3	NA	NA	-0.03068919	NA
RBP1	NA	NA	-0.4956951	NA
NDUFB4	NA	NA	-2.616052	NA
MAP4	NA	NA	NaN	NA
COPB2	NA	NA	-0.0657101	NA
HPS3	NA	NA	0.1426241	NA
PPP1R2	NA	NA	0.008275928	NA
ATP2C1	NA	NA	-0.0701146	NA
SMARCC1	NA	NA	-0.9502443	NA
CDCP1	NA	NA	0.8675154	NA
CEP97	NA	NA	-0.5492256	NA
PDCD6IP	NA	NA	0.1277622	NA
FLNB	NA	NA	0.2866386	NA
TRNT1	NA	NA	0.2487076	NA
FYTTD1	NA	NA	0.1005149	NA
ABHD5	NA	NA	NaN	NA
THOC7	NA	NA	-0.5917751	NA
PARP14	NA	NA	-0.3152184	NA
IMPDH2	NA	NA	-0.653702	NA
PCNP	NA	NA	0.02031111	NA
NUP210	NA	NA	-0.5515262	NA
DCUN1D1	NA	NA	-0.01977307	NA
MFN1	NA	NA	-0.2211965	NA
TFG	NA	NA	0.3700234	NA
SRPRB	NA	NA	-0.6916234	NA
CGGBP1	NA	NA	-0.7040752	NA
GBE1	NA	NA	0.5160372	NA
LAMB2	NA	NA	0.05129442	NA
RBM6	NA	NA	0.3879212	NA
PDCD10	NA	NA	0.0149222	NA
TIMMDC1	NA	NA	0.2136545	NA
LZTFL1	NA	NA	-0.2131295	NA
LSG1	NA	NA	-0.3292959	NA
SUMF1	NA	NA	0.265466	NA
POGLUT1	NA	NA	-0.0859685	NA
TMEM43	NA	NA	-0.2972502	NA
TRA2B	NA	NA	-0.4484781	NA
KPNA1	NA	NA	-0.1331689	NA
DNAJC19	NA	NA	NaN	NA
DBR1	NA	NA	-0.1562672	NA
THUMPD3	NA	NA	-0.177599	NA
RPL24	NA	NA	-0.3918777	NA
DNAJC13	NA	NA	0.1146131	NA
UBA3	NA	NA	-0.07505342	NA
QRICH1	NA	NA	-0.3860384	NA
EIF4A2	NA	NA	1.060578	NA
MANF	NA	NA	-0.0342158	NA
JAGN1	NA	NA	0.8910002	NA
PRKCD	NA	NA	-0.7993765	NA
PLOD2	NA	NA	0.07409164	NA
APEH	NA	NA	0.456999	NA
HLTF	NA	NA	-0.5075528	NA
CMC1	NA	NA	-1.377513	NA
PARP9	NA	NA	0.4657045	NA
LRCH3	NA	NA	0.0175241	NA
CCDC50	NA	NA	-0.1115655	NA
PTPLB	NA	NA	-0.1457426	NA
IFRD2	NA	NA	-0.2548358	NA
RPL32	NA	NA	-0.5262691	NA
MAP4	NA	NA	0.1557751	NA
EOGT	NA	NA	0.2034521	NA
CNOT10	NA	NA	NaN	NA
MKRN2	NA	NA	-0.1329059	NA
NDUFAF3	NA	NA	0.4169841	NA
SMC4	NA	NA	-1.093763	NA
DHX30	NA	NA	0.10785	NA
ATR	NA	NA	NaN	NA
EPM2AIP1	NA	NA	-0.1137005	NA
DCBLD2	NA	NA	-0.2761988	NA
RPL29	NA	NA	-0.316725	NA
PAK2	NA	NA	-0.2624331	NA
ACAD11	NA	NA	0.5891163	NA
GLB1	NA	NA	0.6800815	NA
COMMD2	NA	NA	-0.06030339	NA
VPS8	NA	NA	0.532187	NA
ABCF3	NA	NA	0.1353959	NA
RPL15	NA	NA	-0.4276062	NA
ANKRD28	NA	NA	-0.009490537	NA
RHOA	NA	NA	0.007507083	NA
SEC13	NA	NA	-0.02261639	NA
EIF4G1	NA	NA	-0.04990951	NA
NIT2	NA	NA	0.3712171	NA
TBC1D23	NA	NA	0.0158894	NA
CHMP2B	NA	NA	0.3804274	NA
ARPC4	NA	NA	0.09899988	NA
RPL14	NA	NA	-0.3904476	NA
SEC61A1	NA	NA	-0.06742793	NA
TKT	NA	NA	0.1322459	NA
RPUSD3	NA	NA	0.05521639	NA
XRN1	NA	NA	-0.3649183	NA
WDR48	NA	NA	-0.06419307	NA
UBXN7	NA	NA	-0.4202937	NA
GNAI2	NA	NA	0.257528	NA
CRTAP	NA	NA	-0.1994997	NA
RFTN1	NA	NA	-0.2290956	NA
EIF4G1	NA	NA	-0.2103887	NA
COPG1	NA	NA	-0.01920365	NA
TBC1D23	NA	NA	-0.1511632	NA
FAM208A	NA	NA	-0.3427516	NA
ARMC8	NA	NA	-0.1770886	NA
NMD3	NA	NA	-0.09491162	NA
SPCS1	NA	NA	-0.1021879	NA
CDV3	NA	NA	NaN	NA
MYD88	NA	NA	-0.2460408	NA
ATP13A3	NA	NA	-0.01934605	NA
NBEAL2	NA	NA	NaN	NA
CLASP2	NA	NA	-0.4383994	NA
FLNB	NA	NA	0.4105625	NA
EIF2A	NA	NA	-0.1441769	NA
QARS	NA	NA	-0.1478277	NA
GPX1	NA	NA	-0.02786176	NA
STIM2	NA	NA	NaN	NA
TACC3	NA	NA	-0.6897464	NA
HTT	NA	NA	0.03630393	NA
ANAPC4	NA	NA	-0.3046279	NA
PLRG1	NA	NA	-0.3311319	NA
PPID	NA	NA	-0.4421208	NA
PGRMC2	NA	NA	0.1118979	NA
AIMP1	NA	NA	0.05217681	NA
UTP3	NA	NA	-0.4577518	NA
PDLIM5	NA	NA	-0.3938554	NA
SMARCAD1	NA	NA	-0.4226636	NA
FIP1L1	NA	NA	-0.3074284	NA
WFS1	NA	NA	0.1578981	NA
G3BP2	NA	NA	-0.2956055	NA
HNRNPDL	NA	NA	-0.5098479	NA
PAPSS1	NA	NA	-0.01406949	NA
MAD2L1	NA	NA	-0.6775309	NA
ACSL1	NA	NA	0.2037844	NA
CTBP1	NA	NA	-0.2884177	NA
QDPR	NA	NA	0.4051076	NA
LYAR	NA	NA	-0.4358419	NA
OCIAD1	NA	NA	0.2109302	NA
COMMD8	NA	NA	0.03803599	NA
C4orf27	NA	NA	0.2172392	NA
LETM1	NA	NA	-0.03773358	NA
SDAD1	NA	NA	-0.650305	NA
SEPT11	NA	NA	0.1534625	NA
EXOC1	NA	NA	0.2105294	NA
MSMO1	NA	NA	0.4814447	NA
ADD1	NA	NA	0.02255153	NA
TMA16	NA	NA	-0.9259234	NA
ACOX3	NA	NA	0.2427547	NA
DCK	NA	NA	-0.5453754	NA
CDKN2AIP	NA	NA	NaN	NA
ARFIP1	NA	NA	-0.054779	NA
UBE2K	NA	NA	0.1462439	NA
INPP4B	NA	NA	0.6902597	NA
METAP1	NA	NA	-0.122474	NA
NOP14	NA	NA	-0.5484366	NA
SLC25A4	NA	NA	0.3806152	NA
UBA6	NA	NA	0.2665935	NA
CASP6	NA	NA	-0.2447653	NA
ANXA3	NA	NA	0.2427377	NA
AGA	NA	NA	-0.6262254	NA
LRPAP1	NA	NA	0.2788986	NA
STX18	NA	NA	0.1802336	NA
PET112	NA	NA	-0.09071803	NA
EIF4E	NA	NA	-0.1724875	NA
POLR2B	NA	NA	-0.3642362	NA
SETD7	NA	NA	0.3063413	NA
HNRNPD	NA	NA	-0.5012098	NA
PPAT	NA	NA	-0.4922121	NA
GRPEL1	NA	NA	0.3290872	NA
EXOSC9	NA	NA	-0.7124637	NA
SEC24B	NA	NA	0.001804517	NA
LAMTOR3	NA	NA	0.9235504	NA
FAT1	NA	NA	-0.7252613	NA
UGDH	NA	NA	-0.6803243	NA
NUDT9	NA	NA	0.4061585	NA
FAM114A1	NA	NA	-0.002306496	NA
RPL9	NA	NA	-0.2980718	NA
PPP2R2C	NA	NA	NaN	NA
ETFDH	NA	NA	-0.1190378	NA
ENOPH1	NA	NA	0.1656124	NA
NEK1	NA	NA	NaN	NA
HNRNPDL	NA	NA	NaN	NA
MFSD10	NA	NA	0.3122405	NA
NCAPG	NA	NA	-1.050397	NA
AGPAT9	NA	NA	0.6871371	NA
SCFD2	NA	NA	0.1372987	NA
CISD2	NA	NA	-0.2786984	NA
COPS4	NA	NA	-0.024887	NA
NUP54	NA	NA	-0.2414741	NA
CAMK2D	NA	NA	0.5205625	NA
PPP3CA	NA	NA	-0.003314384	NA
OSTC	NA	NA	0.1354276	NA
SRP72	NA	NA	-0.4018489	NA
PAICS	NA	NA	-0.3960498	NA
SCARB2	NA	NA	0.9075219	NA
ELMOD2	NA	NA	0.228351	NA
WHSC1	NA	NA	-1.242999	NA
SEC24D	NA	NA	-0.1629835	NA
ATP5I	NA	NA	0.1222086	NA
HMGB2	NA	NA	-0.7847553	NA
RPL34	NA	NA	-0.458067	NA
CASP3	NA	NA	0.1811494	NA
NFKB1	NA	NA	-0.2647166	NA
HADH	NA	NA	-0.2167342	NA
LARP7	NA	NA	-0.4838803	NA
HSPA4L	NA	NA	0.2364354	NA
CENPE	NA	NA	-0.567448	NA
DCTD	NA	NA	-0.09868893	NA
SMARCA5	NA	NA	-0.7836662	NA
GAK	NA	NA	-0.1588541	NA
TMEM33	NA	NA	0.1671631	NA
SPCS3	NA	NA	-0.1528972	NA
PPA2	NA	NA	0.2472856	NA
GAR1	NA	NA	-0.4079509	NA
ABCE1	NA	NA	-0.3026407	NA
CENPC	NA	NA	-0.7612854	NA
SEC31A	NA	NA	-0.001009547	NA
UFSP2	NA	NA	0.09582033	NA
TMEM165	NA	NA	-0.1027253	NA
GALNT7	NA	NA	-0.0526941	NA
MAN2B2	NA	NA	1.114191	NA
SPATA5	NA	NA	-0.3700527	NA
HSD17B11	NA	NA	-0.1305355	NA
ANXA5	NA	NA	0.2013272	NA
RFC1	NA	NA	-0.977683	NA
TRAPPC11	NA	NA	0.05153044	NA
LARP1B	NA	NA	0.1006037	NA
NOA1	NA	NA	-0.2903064	NA
NAA15	NA	NA	-0.3081279	NA
DHX15	NA	NA	-0.5488312	NA
BDH2	NA	NA	0.2503198	NA
CLCN3	NA	NA	NaN	NA
LAP3	NA	NA	0.07195199	NA
RPS3A	NA	NA	-0.4090379	NA
MAEA	NA	NA	-0.2943119	NA
GSTCD	NA	NA	-0.6182386	NA
MRPL1	NA	NA	-0.2221863	NA
PGM2	NA	NA	0.02674867	NA
PIGG	NA	NA	-0.07409438	NA
GNPDA2	NA	NA	0.3769948	NA
SLC30A9	NA	NA	NaN	NA
OCIAD2	NA	NA	0.4597346	NA
RAP1GDS1	NA	NA	-0.108491	NA
FRYL	NA	NA	-0.4150014	NA
WDR1	NA	NA	0.5432569	NA
ADH5	NA	NA	0.3336979	NA
METTL14	NA	NA	NaN	NA
ANKRD17	NA	NA	-0.2822619	NA
BOD1L1	NA	NA	-0.2015083	NA
RAPGEF2	NA	NA	NaN	NA
SLAIN2	NA	NA	-0.2760856	NA
PDS5A	NA	NA	-0.8169683	NA
PALLD	NA	NA	-0.009920366	NA
TMEM192	NA	NA	0.8043249	NA
USO1	NA	NA	0.07880753	NA
LRBA	NA	NA	0.1280618	NA
PCDH1	NA	NA	NaN	NA
PFDN1	NA	NA	-0.054474	NA
MGAT1	NA	NA	-0.1359288	NA
KIF3A	NA	NA	0.09313833	NA
SAR1B	NA	NA	-0.3459641	NA
MAT2B	NA	NA	-0.2522945	NA
HSPA4	NA	NA	0.1036739	NA
P4HA2	NA	NA	-0.1035311	NA
SMN1	NA	NA	-0.04288095	NA
SMN2	NA	NA	-0.04288095	NA
TRIP13	NA	NA	-0.6722896	NA
RNF14	NA	NA	0.9270849	NA
ERGIC1	NA	NA	0.6500686	NA
MAN2A1	NA	NA	0.09835117	NA
PCDHGA2	NA	NA	-0.06087745	NA
RARS	NA	NA	0.08617041	NA
SCAMP1	NA	NA	0.3300842	NA
HDAC3	NA	NA	-0.7555712	NA
NSA2	NA	NA	-0.2845142	NA
RPL26L1	NA	NA	-0.1156992	NA
XRCC4	NA	NA	-0.04544291	NA
HSPA9	NA	NA	0.245523	NA
PPP2CA	NA	NA	-0.2430598	NA
HMGCS1	NA	NA	0.2467377	NA
STC2	NA	NA	NaN	NA
GNPDA1	NA	NA	0.8106118	NA
SFXN1	NA	NA	-0.1424789	NA
VCAN	NA	NA	-0.5772475	NA
LMAN2	NA	NA	0.043408	NA
YTHDC2	NA	NA	-0.3099909	NA
MRPS30	NA	NA	0.08130837	NA
CCT5	NA	NA	-0.1790014	NA
NDUFS4	NA	NA	-2.315016	NA
NDFIP1	NA	NA	0.31276	NA
ITGA2	NA	NA	1.031769	NA
HNRNPH1	NA	NA	-0.5101518	NA
MATR3	NA	NA	-0.4510133	NA
AGGF1	NA	NA	NaN	NA
TAF7	NA	NA	-0.02602102	NA
HSD17B4	NA	NA	0.2796515	NA
CANX	NA	NA	-0.2090166	NA
AP3B1	NA	NA	0.08597128	NA
CCNH	NA	NA	-0.007051899	NA
PAIP1	NA	NA	-0.116764	NA
SEPT8	NA	NA	-0.1756843	NA
SNX24	NA	NA	0.1330999	NA
SLC12A2	NA	NA	-0.2041407	NA
PPIC	NA	NA	-0.4201859	NA
REEP5	NA	NA	0.2221111	NA
MAPK9	NA	NA	0.008246858	NA
COL4A3BP	NA	NA	0.5141817	NA
RASA1	NA	NA	0.1606532	NA
RPS14	NA	NA	-0.3613193	NA
NIPBL	NA	NA	-0.8563085	NA
OXCT1	NA	NA	-0.09774552	NA
NUP155	NA	NA	-0.2376861	NA
TNFAIP8	NA	NA	0.3016215	NA
DPYSL3	NA	NA	-0.8296872	NA
BNIP1	NA	NA	-0.0836559	NA
SLC26A2	NA	NA	0.623027	NA
PDLIM4	NA	NA	0.3185417	NA
NOP16	NA	NA	-0.5914879	NA
TAF9	NA	NA	0.1286295	NA
SNX18	NA	NA	0.1409368	NA
ZNF622	NA	NA	0.4181186	NA
ZMAT2	NA	NA	-0.7564254	NA
GFM2	NA	NA	0.4128644	NA
SRA1	NA	NA	0.08836205	NA
NUDCD2	NA	NA	-0.04558268	NA
ARAP3	NA	NA	NaN	NA
LARS	NA	NA	0.002931731	NA
PELO	NA	NA	-0.04446396	NA
RAD50	NA	NA	-0.5781175	NA
TMEM167A	NA	NA	NaN	NA
DNAH5	NA	NA	0.1865411	NA
EXOC3	NA	NA	0.1113834	NA
RICTOR	NA	NA	0.7556055	NA
WDR36	NA	NA	-0.4160831	NA
FAF2	NA	NA	0.01282467	NA
SQSTM1	NA	NA	0.1480492	NA
BRIX1	NA	NA	-0.6222743	NA
CSNK1A1	NA	NA	-0.2315554	NA
PCYOX1L	NA	NA	-0.04737634	NA
PCDHGA2	NA	NA	NaN	NA
CTNNA1	NA	NA	0.09446433	NA
GFPT2	NA	NA	-0.09220739	NA
VDAC1	NA	NA	0.2561489	NA
CLTB	NA	NA	0.1634295	NA
PRRC1	NA	NA	-0.03125412	NA
TBCA	NA	NA	-0.08488069	NA
DHX29	NA	NA	-0.003026455	NA
ANKHD1	NA	NA	NaN	NA
LMNB1	NA	NA	-0.9503937	NA
RPS23	NA	NA	-0.3327366	NA
HINT1	NA	NA	0.2094782	NA
TCERG1	NA	NA	-0.5223572	NA
TMEM173	NA	NA	0.5140375	NA
GPX8	NA	NA	0.02898435	NA
RAPGEF6	NA	NA	0.3872983	NA
RBM27	NA	NA	-0.2400089	NA
MBLAC2	NA	NA	0.4549212	NA
SLU7	NA	NA	-0.5278239	NA
SRP19	NA	NA	-0.3995539	NA
BASP1	NA	NA	0.6754197	NA
IQGAP2	NA	NA	NaN	NA
SNX2	NA	NA	0.4045919	NA
WDR70	NA	NA	-0.1462641	NA
FBXW11	NA	NA	0.1551484	NA
SKP1	NA	NA	-0.1108978	NA
PHAX	NA	NA	-0.6271399	NA
ISOC1	NA	NA	0.1470041	NA
SRFBP1	NA	NA	-0.04795714	NA
SDHA	NA	NA	-0.5985557	NA
WDR41	NA	NA	-0.275045	NA
TBC1D9B	NA	NA	0.35999	NA
MSH3	NA	NA	-0.5563701	NA
TARS	NA	NA	-0.05380646	NA
YIPF5	NA	NA	0.08470087	NA
NNT	NA	NA	0.09155596	NA
C5orf51	NA	NA	-0.001730151	NA
CMBL	NA	NA	1.603797	NA
EMB	NA	NA	NaN	NA
PRKAA1	NA	NA	0.1638335	NA
COMMD10	NA	NA	0.1043561	NA
ZFYVE16	NA	NA	-0.2923144	NA
ETF1	NA	NA	0.003640232	NA
NADK2	NA	NA	-0.1792563	NA
FBXO38	NA	NA	NaN	NA
RUFY1	NA	NA	0.1909313	NA
TRIO	NA	NA	-0.2121336	NA
NPM1	NA	NA	-0.3108054	NA
MTX3	NA	NA	NaN	NA
SKIV2L2	NA	NA	-0.6941225	NA
RAI14	NA	NA	0.06032206	NA
DIAPH1	NA	NA	-0.3733977	NA
SEC24A	NA	NA	-0.1751732	NA
ALDH7A1	NA	NA	0.05566622	NA
PPP2R5D	NA	NA	-0.3162616	NA
RNGTT	NA	NA	-0.3475523	NA
BAG2	NA	NA	0.2110638	NA
ZNF451	NA	NA	0.4203049	NA
SNX9	NA	NA	-0.1048733	NA
C6orf211	NA	NA	0.3880345	NA
MAPK14	NA	NA	0.2010786	NA
EEF1E1	NA	NA	-0.0246034	NA
BPHL	NA	NA	0.4985651	NA
DEF6	NA	NA	-0.3494785	NA
POLR1C	NA	NA	-0.06364099	NA
BCLAF1	NA	NA	-0.3331947	NA
