GENE	NORMAL	ABNORMAL	LOG2FOLD	PVALUE
MRPL41	32.26166675	26.05945077	-0.308014297	0
MT-ND1	1381.231641	1183.513649	-0.222878944	0
MT-ND2	1040.623075	1054.350713	0.018907233	0
MT-CO1	5541.192751	4416.958815	-0.327143172	0
MT-CO2	6030.862124	5272.259578	-0.19394285	0
MT-ATP8	746.2230208	672.1743518	-0.150771373	0
MT-ATP6	2956.625679	2322.064822	-0.348543357	0
MT-CO3	2177.205378	2083.398399	-0.063538759	0
MT-ND3	380.9647672	461.4877939	0.276634911	0
MT-ND4L	2058.242957	1690.641886	-0.283842191	0
MT-ND4	2295.139545	1972.698871	-0.218411124	0
MT-ND5	1078.195209	1031.110765	-0.064419084	0
MT-ND6	550.1153045	682.2051962	0.310471704	0
MT-CYB	2275.884804	2050.186579	-0.150672327	0
SLC25A6	0.524111232	0.421313934	-0.314977395	0
HCCS	1.067647912	1.374375701	0.36434048	0
PDHA1	1.899788213	2.347202861	0.305103937	0
NDUFB11	19.24177546	16.59568612	-0.213433647	0
TIMM17B	6.654325002	5.577394863	-0.254700917	0
HSD17B10	10.87556555	8.444869549	-0.364943384	0
APEX2	3.45596791	2.478081115	-0.479866409	0
ABCB7	0.040314515	0.065436556	0.698797448	0
COX7B	1.551681973	3.342446561	1.107071596	0
PGK1	4.719944164	4.601937873	-0.036528286	0
TRMT2B	0.297839381	0.244456465	-0.284956961	0
TIMM8A	0.909636913	1.143761524	0.330423575	0
ACSL4	0.209718879	0.622603814	1.569857672	0
SLC25A5	40.25072024	33.54465036	-0.262931892	0
NDUFA1	1.814971463	3.677580757	1.018810158	0
XIAP	0.141203916	0.429813273	1.605929939	0
AIFM1	0.456565491	0.583936553	0.354989805	0
IDH3G	9.691557434	7.17804586	-0.433137385	0
TAZ	1.610223138	1.433509374	-0.167709286	0
