gene	value_1	value_2	Protein-HCT116-5-4	p_value
FAHD2A	NA	NA	0.6095562	NA
FAHD2B	NA	NA	0.6095562	NA
GCC2	NA	NA	-0.1575589	NA
NBAS	NA	NA	0.3012365	NA
TIA1	NA	NA	-0.8482568	NA
RPE	NA	NA	-0.364905	NA
ANKZF1	NA	NA	-0.620047	NA
PRPF40A	NA	NA	-0.08638485	NA
SEPT10	NA	NA	0.07545031	NA
VRK2	NA	NA	-0.403809	NA
MYO1B	NA	NA	-0.4118215	NA
ATG9A	NA	NA	-0.1275573	NA
PCYOX1	NA	NA	0.4666532	NA
MSH6	NA	NA	-0.7673013	NA
TP53I3	NA	NA	-1.025672	NA
MOB4	NA	NA	0.1226065	NA
SSFA2	NA	NA	-0.9356138	NA
SLC25A12	NA	NA	-0.252053	NA
CLASP1	NA	NA	0.2618317	NA
PPP1R21	NA	NA	-0.06917939	NA
ITSN2	NA	NA	-0.1534015	NA
FHL2	NA	NA	-0.2712349	NA
RP11-427H3.3	NA	NA	0.6444236	NA
CERS6	NA	NA	0.1548434	NA
THADA	NA	NA	-0.6020219	NA
GTF3C2	NA	NA	-0.2275721	NA
PTMA	NA	NA	-0.1365547	NA
SMEK2	NA	NA	1.265123	NA
RPL37A	NA	NA	-0.2819124	NA
HNRNPA3	NA	NA	-0.3144635	NA
LCLAT1	NA	NA	0.6802043	NA
HIBCH	NA	NA	0.1505597	NA
USP39	NA	NA	-0.2910271	NA
SNRNP200	NA	NA	-0.1330394	NA
PTRHD1	NA	NA	-0.09409558	NA
ERLEC1	NA	NA	0.06540981	NA
ATG16L1	NA	NA	0.07370331	NA
PREPL	NA	NA	-0.03645315	NA
MRPL30	NA	NA	-0.07784785	NA
C2orf15	NA	NA	-0.07784785	NA
CHPF	NA	NA	0.8650478	NA
ZNF638	NA	NA	0.1557492	NA
TMEM214	NA	NA	0.4320922	NA
SLC35F6	NA	NA	0.6962453	NA
ATG4B	NA	NA	-0.1261751	NA
EIF4E2	NA	NA	-0.16882	NA
NCL	NA	NA	-0.7910582	NA
NIF3L1	NA	NA	-0.03384576	NA
NDUFS1	NA	NA	0.04365009	NA
KIF1A	NA	NA	-0.03070405	NA
NRBP1	NA	NA	-0.5002995	NA
MRPS9	NA	NA	-0.02045765	NA
GIGYF2	NA	NA	-0.2443432	NA
ADI1	NA	NA	-0.3857142	NA
SPEG	NA	NA	-0.3418314	NA
CTNNA2	NA	NA	0.07362355	NA
GORASP2	NA	NA	0.1597131	NA
PNPT1	NA	NA	-0.4682509	NA
ERCC3	NA	NA	-0.4234875	NA
LRPPRC	NA	NA	-0.3182404	NA
PTCD3	NA	NA	-0.02714797	NA
TMEM87B	NA	NA	0.4180917	NA
BZW1	NA	NA	-0.337362	NA
LIMS1	NA	NA	0.3024067	NA
GULP1	NA	NA	0.6076763	NA
ANXA4	NA	NA	0.6574571	NA
SMPD4	NA	NA	-0.106964	NA
EXOC6B	NA	NA	0.07628538	NA
RAPH1	NA	NA	0.09464151	NA
SUCLG1	NA	NA	0.2104065	NA
DIS3L2	NA	NA	-0.3542061	NA
KIDINS220	NA	NA	-0.2080156	NA
MTERFD2	NA	NA	0.03543603	NA
AUP1	NA	NA	0.2637471	NA
MDH1	NA	NA	0.3647966	NA
AAK1	NA	NA	0.5798905	NA
DCTN1	NA	NA	1.342951	NA
PPP3R1	NA	NA	-0.7037757	NA
RGPD5	NA	NA	0.5371721	NA
RGPD8	NA	NA	0.5371721	NA
RGPD6	NA	NA	0.5371721	NA
ITGAV	NA	NA	0.1617761	NA
WDR43	NA	NA	-0.7747871	NA
FYCO1	NA	NA	-0.3827203	NA
NCEH1	NA	NA	1.114483	NA
GMPPB	NA	NA	0.4125983	NA
POLR2H	NA	NA	-0.3056162	NA
LIMD1	NA	NA	-0.4503604	NA
ACTL6A	NA	NA	-0.6048275	NA
CAPN7	NA	NA	0.75994	NA
GNL3	NA	NA	-0.5235054	NA
UMPS	NA	NA	-0.3016748	NA
PDHB	NA	NA	0.3544353	NA
GOLGB1	NA	NA	0.3439194	NA
UBP1	NA	NA	0.08297509	NA
RBM5	NA	NA	0.1805297	NA
MAPKAPK3	NA	NA	-0.1212668	NA
SLC33A1	NA	NA	0.4820222	NA
TEX264	NA	NA	0.04292445	NA
OPA1	NA	NA	-0.1706378	NA
PCCB	NA	NA	-0.1363153	NA
LRRFIP2	NA	NA	0.2033891	NA
ARIH2	NA	NA	-0.4083014	NA
ATG7	NA	NA	0.1909309	NA
ARL6IP5	NA	NA	-0.1299071	NA
DYNC1LI1	NA	NA	0.1106305	NA
ATP6V1A	NA	NA	0.1735741	NA
ATP1B3	NA	NA	0.7338302	NA
SELT	NA	NA	-0.35275	NA
DNAJB11	NA	NA	0.133356	NA
SSR3	NA	NA	0.4189995	NA
ACY1	NA	NA	-0.5341065	NA
NT5DC2	NA	NA	0.1758925	NA
OXSR1	NA	NA	-0.07512172	NA
TMF1	NA	NA	-0.1672035	NA
ZNF148	NA	NA	-0.1923318	NA
USP4	NA	NA	0.7358345	NA
EIF2B5	NA	NA	-0.3753282	NA
PSMD2	NA	NA	-0.1491598	NA
MRPL3	NA	NA	-0.3948661	NA
KPNA4	NA	NA	-0.4039618	NA
ACAA1	NA	NA	0.4600955	NA
MRPS22	NA	NA	-0.1990028	NA
MRPS25	NA	NA	-0.3183978	NA
GOLGA4	NA	NA	0.4131607	NA
NDUFB5	NA	NA	-0.02216336	NA
UQCRC1	NA	NA	0.3021728	NA
WDR6	NA	NA	0.4646683	NA
SLC25A20	NA	NA	0.5005982	NA
PSMD6	NA	NA	0.1894462	NA
CDV3	NA	NA	-0.6457702	NA
EXOSC7	NA	NA	-0.3202708	NA
LARS2	NA	NA	-0.1646903	NA
ACAP2	NA	NA	0.3925373	NA
ALCAM	NA	NA	0.7788118	NA
TOMM70A	NA	NA	-0.3593599	NA
UBA5	NA	NA	-0.04410696	NA
APPL1	NA	NA	-0.1099814	NA
FXR1	NA	NA	-0.1860065	NA
RAB7A	NA	NA	-0.2694547	NA
PRKCI	NA	NA	-0.3698459	NA
CTNNB1	NA	NA	-0.7707919	NA
RFC4	NA	NA	-0.04792206	NA
RAP2B	NA	NA	-0.1603951	NA
NAA50	NA	NA	-0.5334302	NA
ARL8B	NA	NA	0.3981359	NA
SEC62	NA	NA	0.2586999	NA
GTF2E1	NA	NA	-0.5497687	NA
ABHD10	NA	NA	0.8830734	NA
EMC3	NA	NA	-0.2661656	NA
SLC4A7	NA	NA	0.09247811	NA
EXOG	NA	NA	0.1178281	NA
RUVBL1	NA	NA	-0.2972346	NA
H1FX	NA	NA	0.4378668	NA
ATG3	NA	NA	0.9134895	NA
AP2M1	NA	NA	0.5332643	NA
SACM1L	NA	NA	0.5203468	NA
TBC1D5	NA	NA	-0.5785208	NA
TFRC	NA	NA	-0.3546119	NA
PVRL3	NA	NA	-0.2839456	NA
FAM162A	NA	NA	-0.07061805	NA
PBRM1	NA	NA	-0.5751639	NA
RAB5A	NA	NA	0.5255678	NA
LPP	NA	NA	-0.02374465	NA
PIK3R4	NA	NA	-0.2628883	NA
USP13	NA	NA	-0.7128858	NA
MCCC1	NA	NA	0.2044203	NA
HMCES	NA	NA	0.711583	NA
KIF15	NA	NA	-0.7454113	NA
STAG1	NA	NA	-0.2182291	NA
BDH1	NA	NA	-0.4761451	NA
RPN1	NA	NA	0.05297228	NA
TOP2B	NA	NA	-0.1663103	NA
DHX36	NA	NA	-0.331558	NA
NCK1	NA	NA	-0.143086	NA
CAMK1	NA	NA	0.2625558	NA
GSK3B	NA	NA	-0.1152849	NA
DAG1	NA	NA	0.5616438	NA
GMPS	NA	NA	-0.1907667	NA
SNX4	NA	NA	0.09812552	NA
RPL35A	NA	NA	-0.290896	NA
ITGB5	NA	NA	0.4113178	NA
MRPL47	NA	NA	-0.1287421	NA
PIK3CA	NA	NA	0.1715911	NA
CMSS1	NA	NA	-0.754187	NA
NISCH	NA	NA	0.560248	NA
PLS1	NA	NA	-0.423895	NA
OSBPL11	NA	NA	-0.2753497	NA
CCDC58	NA	NA	-0.7753916	NA
RFT1	NA	NA	-0.5533035	NA
TAMM41	NA	NA	-0.3867512	NA
CMTM7	NA	NA	1.758857	NA
PRKAR2A	NA	NA	-0.1246343	NA
TMEM41A	NA	NA	0.1773195	NA
ABHD14B	NA	NA	-0.6647207	NA
FANCD2	NA	NA	-0.3959048	NA
CPOX	NA	NA	-0.5235042	NA
SUCLG2	NA	NA	-0.1676999	NA
TRMT10C	NA	NA	-0.42843	NA
PPP4R2	NA	NA	-0.2480222	NA
PFN2	NA	NA	-0.5365914	NA
U2SURP	NA	NA	-0.2550812	NA
C3orf38	NA	NA	-0.2775362	NA
STT3B	NA	NA	0.08120319	NA
MTMR14	NA	NA	0.2236697	NA
DTX3L	NA	NA	2.582867	NA
WDR82	NA	NA	-0.247724	NA
ACAD9	NA	NA	0.1822469	NA
KIAA1524	NA	NA	0.1079752	NA
GFM1	NA	NA	0.3071814	NA
XPC	NA	NA	0.02729555	NA
DCP1A	NA	NA	-0.5131518	NA
PHLDB2	NA	NA	0.6869711	NA
PDE12	NA	NA	-0.06618564	NA
RBM15B	NA	NA	-0.3671409	NA
MBNL1	NA	NA	0.1208827	NA
ALG3	NA	NA	0.4392508	NA
ZBTB20	NA	NA	-0.5092657	NA
IGF2BP2	NA	NA	-0.3241118	NA
GYG1	NA	NA	0.2463241	NA
NCBP2	NA	NA	-0.1056335	NA
ARF4	NA	NA	0.3061456	NA
EHHADH	NA	NA	0.06396154	NA
MINA	NA	NA	-1.087204	NA
SLC41A3	NA	NA	-0.8490682	NA
FNDC3B	NA	NA	-0.2594252	NA
RRP9	NA	NA	-0.2965946	NA
SEC61A1	NA	NA	-0.172575	NA
ITPR1	NA	NA	-0.02685165	NA
DLG1	NA	NA	0.1851053	NA
TNIK	NA	NA	-0.01503191	NA
LSM3	NA	NA	-0.1113522	NA
RBP1	NA	NA	0.009347181	NA
NDUFB4	NA	NA	-0.05286342	NA
MAP4	NA	NA	-0.02483993	NA
COPB2	NA	NA	0.2598363	NA
HPS3	NA	NA	0.3945405	NA
PPP1R2	NA	NA	0.2859348	NA
ATP2C1	NA	NA	-0.111212	NA
SMARCC1	NA	NA	-0.3253102	NA
CDCP1	NA	NA	0.4869179	NA
CEP97	NA	NA	0.4038146	NA
PDCD6IP	NA	NA	0.1353545	NA
FLNB	NA	NA	0.09220742	NA
TRNT1	NA	NA	0.1263122	NA
FYTTD1	NA	NA	0.9744559	NA
ABHD5	NA	NA	-1.210296	NA
THOC7	NA	NA	-0.1059831	NA
PARP14	NA	NA	0.9514573	NA
IMPDH2	NA	NA	-0.709151	NA
PCNP	NA	NA	-0.2143909	NA
NUP210	NA	NA	-0.7277344	NA
DCUN1D1	NA	NA	-0.06235427	NA
MFN1	NA	NA	0.2337587	NA
TFG	NA	NA	-0.1372233	NA
SRPRB	NA	NA	-0.7758362	NA
CGGBP1	NA	NA	0.4433945	NA
GBE1	NA	NA	0.5045695	NA
LAMB2	NA	NA	-1.054677	NA
RBM6	NA	NA	-0.344872	NA
PDCD10	NA	NA	-0.01870266	NA
TIMMDC1	NA	NA	-0.5361683	NA
LZTFL1	NA	NA	0.08202134	NA
LSG1	NA	NA	-0.151786	NA
SUMF1	NA	NA	-0.3494538	NA
POGLUT1	NA	NA	-0.1584938	NA
TMEM43	NA	NA	0.3116432	NA
TRA2B	NA	NA	0.1257833	NA
KPNA1	NA	NA	0.006456874	NA
DNAJC19	NA	NA	-0.2490465	NA
DBR1	NA	NA	-0.2974488	NA
THUMPD3	NA	NA	-0.3898859	NA
RPL24	NA	NA	-0.2362145	NA
DNAJC13	NA	NA	0.2205776	NA
UBA3	NA	NA	-0.08545081	NA
QRICH1	NA	NA	-0.2707925	NA
EIF4A2	NA	NA	-0.08764653	NA
MANF	NA	NA	-0.1200277	NA
JAGN1	NA	NA	-0.1837525	NA
PRKCD	NA	NA	-0.1304918	NA
PLOD2	NA	NA	1.590214	NA
APEH	NA	NA	0.8280628	NA
HLTF	NA	NA	0.7079664	NA
CMC1	NA	NA	-0.01746087	NA
PARP9	NA	NA	2.206903	NA
LRCH3	NA	NA	0.1923205	NA
CCDC50	NA	NA	0.2106674	NA
PTPLB	NA	NA	-0.1203455	NA
IFRD2	NA	NA	-0.9153088	NA
RPL32	NA	NA	-0.2622539	NA
EOGT	NA	NA	-0.06715395	NA
CNOT10	NA	NA	-1.221983	NA
MKRN2	NA	NA	-0.2236939	NA
NDUFAF3	NA	NA	-0.4370963	NA
SMC4	NA	NA	0.7422868	NA
DHX30	NA	NA	-0.01696449	NA
ATR	NA	NA	-0.2965685	NA
EPM2AIP1	NA	NA	0.6118334	NA
DCBLD2	NA	NA	0.2980718	NA
RPL29	NA	NA	0.0204795	NA
PAK2	NA	NA	-0.03685141	NA
ACAD11	NA	NA	-0.2643912	NA
GLB1	NA	NA	-0.1985473	NA
COMMD2	NA	NA	0.05782762	NA
VPS8	NA	NA	0.4139203	NA
ABCF3	NA	NA	-0.000606022	NA
RPL15	NA	NA	-0.2261724	NA
ANKRD28	NA	NA	-0.4703889	NA
RHOA	NA	NA	-0.2635423	NA
SEC13	NA	NA	0.01120934	NA
EIF4G1	NA	NA	-0.3937283	NA
NIT2	NA	NA	0.4526076	NA
TBC1D23	NA	NA	-0.1993216	NA
CHMP2B	NA	NA	-0.4464738	NA
ARPC4	NA	NA	-0.2944556	NA
RPL14	NA	NA	-0.2491534	NA
TKT	NA	NA	0.5669931	NA
RPUSD3	NA	NA	-0.3036763	NA
XRN1	NA	NA	0.9493517	NA
WDR48	NA	NA	-0.2304957	NA
UBXN7	NA	NA	-0.06804143	NA
GNAI2	NA	NA	0.1990902	NA
CRTAP	NA	NA	0.6916647	NA
RFTN1	NA	NA	0.4903493	NA
COPG1	NA	NA	0.3029525	NA
FAM208A	NA	NA	-0.281408	NA
ARMC8	NA	NA	-0.4480571	NA
NMD3	NA	NA	0.04795711	NA
SPCS1	NA	NA	-0.05883125	NA
MYD88	NA	NA	0.1407703	NA
ATP13A3	NA	NA	-0.1291357	NA
NBEAL2	NA	NA	0.0054968	NA
CLASP2	NA	NA	0.1684715	NA
EIF2A	NA	NA	-0.2561145	NA
QARS	NA	NA	0.3375398	NA
GPX1	NA	NA	-0.4614944	NA
STIM2	NA	NA	0.1953476	NA
TACC3	NA	NA	0.8011586	NA
HTT	NA	NA	0.007913023	NA
ANAPC4	NA	NA	-0.04435985	NA
PLRG1	NA	NA	-0.3018349	NA
PPID	NA	NA	-0.3038214	NA
PGRMC2	NA	NA	-0.1072072	NA
AIMP1	NA	NA	-0.04539535	NA
UTP3	NA	NA	-0.605056	NA
PDLIM5	NA	NA	1.633059	NA
SMARCAD1	NA	NA	-0.1629609	NA
FIP1L1	NA	NA	-0.3541324	NA
WFS1	NA	NA	-0.1872531	NA
G3BP2	NA	NA	-0.6029199	NA
HNRNPDL	NA	NA	-0.06264785	NA
PAPSS1	NA	NA	0.5398288	NA
MAD2L1	NA	NA	-0.1449193	NA
ACSL1	NA	NA	1.424922	NA
CTBP1	NA	NA	-0.1188942	NA
QDPR	NA	NA	-0.3659272	NA
LYAR	NA	NA	-0.3740002	NA
OCIAD1	NA	NA	-0.102837	NA
COMMD8	NA	NA	-0.1764626	NA
C4orf27	NA	NA	0.4028313	NA
LETM1	NA	NA	-0.1982218	NA
SDAD1	NA	NA	-0.4628062	NA
SEPT11	NA	NA	0.2188969	NA
EXOC1	NA	NA	0.5058909	NA
MSMO1	NA	NA	-0.08509526	NA
ADD1	NA	NA	0.8255414	NA
TMA16	NA	NA	-0.1317715	NA
ACOX3	NA	NA	1.227148	NA
DCK	NA	NA	-0.06597836	NA
CDKN2AIP	NA	NA	0.1899194	NA
ARFIP1	NA	NA	0.7887039	NA
UBE2K	NA	NA	-0.0864767	NA
INPP4B	NA	NA	-0.4592189	NA
METAP1	NA	NA	-0.03163642	NA
NOP14	NA	NA	-0.9143034	NA
SLC25A4	NA	NA	0.1317212	NA
UBA6	NA	NA	0.1989969	NA
CASP6	NA	NA	-0.2352761	NA
ANXA3	NA	NA	1.484344	NA
AGA	NA	NA	0.1473793	NA
LRPAP1	NA	NA	0.1275012	NA
STX18	NA	NA	0.1442907	NA
PET112	NA	NA	0.1327743	NA
EIF4E	NA	NA	-0.1666646	NA
POLR2B	NA	NA	-0.1846049	NA
SETD7	NA	NA	-1.035148	NA
HNRNPD	NA	NA	-0.01740743	NA
PPAT	NA	NA	-0.8895833	NA
GRPEL1	NA	NA	-0.1521328	NA
EXOSC9	NA	NA	-0.2709128	NA
SEC24B	NA	NA	-0.05510771	NA
LAMTOR3	NA	NA	0.2336126	NA
FAT1	NA	NA	-0.2697209	NA
UGDH	NA	NA	0.307312	NA
NUDT9	NA	NA	0.3855966	NA
FAM114A1	NA	NA	0.8567737	NA
RPL9	NA	NA	-0.2691123	NA
PPP2R2C	NA	NA	-0.4703889	NA
ETFDH	NA	NA	0.5232717	NA
ENOPH1	NA	NA	-0.6964472	NA
NEK1	NA	NA	-0.2810532	NA
MFSD10	NA	NA	0.7133439	NA
NCAPG	NA	NA	0.4874662	NA
AGPAT9	NA	NA	0.1158988	NA
SCFD2	NA	NA	-0.4377121	NA
CISD2	NA	NA	-0.2718995	NA
COPS4	NA	NA	-0.1151442	NA
NUP54	NA	NA	0.04825889	NA
CAMK2D	NA	NA	0.1410403	NA
PPP3CA	NA	NA	-0.552052	NA
OSTC	NA	NA	0.3159883	NA
SRP72	NA	NA	-0.1348413	NA
PAICS	NA	NA	-0.3191181	NA
SCARB2	NA	NA	-0.3283143	NA
ELMOD2	NA	NA	0.1439158	NA
WHSC1	NA	NA	-1.07775	NA
SEC24D	NA	NA	0.0366358	NA
ATP5I	NA	NA	0.7816114	NA
HMGB2	NA	NA	-0.2726968	NA
RPL34	NA	NA	-0.3406523	NA
CASP3	NA	NA	-0.09935537	NA
NFKB1	NA	NA	-0.6040379	NA
HADH	NA	NA	0.1118267	NA
LARP7	NA	NA	-0.3091807	NA
HSPA4L	NA	NA	-0.1750864	NA
CENPE	NA	NA	-0.1668332	NA
DCTD	NA	NA	-0.08187332	NA
SMARCA5	NA	NA	-0.256819	NA
GAK	NA	NA	0.1329414	NA
TMEM33	NA	NA	-0.2581836	NA
SPCS3	NA	NA	-0.2326314	NA
PPA2	NA	NA	-0.01160479	NA
GAR1	NA	NA	-0.3006505	NA
ABCE1	NA	NA	-1.351783	NA
CENPC	NA	NA	0.2370122	NA
SEC31A	NA	NA	0.2498701	NA
UFSP2	NA	NA	0.2157407	NA
TMEM165	NA	NA	-0.1370766	NA
GALNT7	NA	NA	-0.8949766	NA
MAN2B2	NA	NA	0.5833188	NA
SPATA5	NA	NA	0.09420756	NA
HSD17B11	NA	NA	0.8653646	NA
ANXA5	NA	NA	0.6061579	NA
RFC1	NA	NA	-0.2516786	NA
TRAPPC11	NA	NA	0.07806332	NA
LARP1B	NA	NA	0.1992483	NA
NOA1	NA	NA	-0.3424656	NA
NAA15	NA	NA	-0.580919	NA
DHX15	NA	NA	-0.05736668	NA
BDH2	NA	NA	-0.5159134	NA
CLCN3	NA	NA	0.04781106	NA
LAP3	NA	NA	0.150225	NA
RPS3A	NA	NA	-0.4063922	NA
MAEA	NA	NA	-0.7188084	NA
GSTCD	NA	NA	-0.4457353	NA
MRPL1	NA	NA	-0.2020242	NA
PGM2	NA	NA	-0.6625016	NA
PIGG	NA	NA	0.2425489	NA
GNPDA2	NA	NA	-0.03953734	NA
SLC30A9	NA	NA	0.8068873	NA
OCIAD2	NA	NA	-0.1253484	NA
RAP1GDS1	NA	NA	0.08664794	NA
FRYL	NA	NA	1.622321	NA
WDR1	NA	NA	0.369941	NA
ADH5	NA	NA	0.07398237	NA
METTL14	NA	NA	0.1457852	NA
ANKRD17	NA	NA	-0.3804837	NA
BOD1L1	NA	NA	-0.02137969	NA
RAPGEF2	NA	NA	0.07901435	NA
SLAIN2	NA	NA	0.06653696	NA
PDS5A	NA	NA	-0.104459	NA
PALLD	NA	NA	1.286231	NA
TMEM192	NA	NA	0.2100456	NA
USO1	NA	NA	0.02687089	NA
LRBA	NA	NA	-0.712865	NA
PCDH1	NA	NA	1.550753	NA
PFDN1	NA	NA	0.2203918	NA
MGAT1	NA	NA	1.289126	NA
KIF3A	NA	NA	0.4618624	NA
SAR1B	NA	NA	2.346499	NA
MAT2B	NA	NA	0.5803661	NA
HSPA4	NA	NA	0.8621935	NA
P4HA2	NA	NA	1.598508	NA
SMN1	NA	NA	-0.863651	NA
SMN2	NA	NA	-0.863651	NA
TRIP13	NA	NA	0.4804254	NA
RNF14	NA	NA	0.8511193	NA
ERGIC1	NA	NA	1.20236	NA
MAN2A1	NA	NA	0.4272843	NA
PCDHGA2	NA	NA	0.5850678	NA
RARS	NA	NA	0.4364857	NA
SCAMP1	NA	NA	1.072243	NA
HDAC3	NA	NA	0.01593395	NA
NSA2	NA	NA	-0.003394284	NA
RPL26L1	NA	NA	-0.2064286	NA
XRCC4	NA	NA	1.190454	NA
HSPA9	NA	NA	0.8356441	NA
PPP2CA	NA	NA	0.3214664	NA
HMGCS1	NA	NA	0.07714789	NA
STC2	NA	NA	1.286627	NA
GNPDA1	NA	NA	0.445121	NA
SFXN1	NA	NA	1.220436	NA
VCAN	NA	NA	1.407793	NA
LMAN2	NA	NA	-0.2698384	NA
YTHDC2	NA	NA	0.3460776	NA
MRPS30	NA	NA	-0.03657023	NA
CCT5	NA	NA	-0.1289722	NA
NDUFS4	NA	NA	-0.01145802	NA
NDFIP1	NA	NA	0.7620524	NA
ITGA2	NA	NA	1.429381	NA
HNRNPH1	NA	NA	0.2274354	NA
MATR3	NA	NA	0.2661569	NA
AGGF1	NA	NA	1.678501	NA
TAF7	NA	NA	0.9596293	NA
HSD17B4	NA	NA	1.374002	NA
CANX	NA	NA	1.193073	NA
AP3B1	NA	NA	0.4322405	NA
CCNH	NA	NA	-0.1946351	NA
PAIP1	NA	NA	0.5195378	NA
SEPT8	NA	NA	1.06494	NA
SNX24	NA	NA	1.312166	NA
SLC12A2	NA	NA	1.754588	NA
PPIC	NA	NA	0.5230601	NA
REEP5	NA	NA	0.5385686	NA
MAPK9	NA	NA	0.6846774	NA
COL4A3BP	NA	NA	0.7167294	NA
RASA1	NA	NA	0.859254	NA
RPS14	NA	NA	-0.3442269	NA
NIPBL	NA	NA	0.6046216	NA
OXCT1	NA	NA	0.4706149	NA
NUP155	NA	NA	0.3445017	NA
TNFAIP8	NA	NA	0.2165232	NA
DPYSL3	NA	NA	2.323284	NA
BNIP1	NA	NA	0.3573245	NA
SLC26A2	NA	NA	1.38084	NA
PDLIM4	NA	NA	3.213554	NA
NOP16	NA	NA	-0.01170433	NA
TAF9	NA	NA	-0.5327175	NA
SNX18	NA	NA	2.605006	NA
ZNF622	NA	NA	0.3307878	NA
ZMAT2	NA	NA	-0.09128553	NA
GFM2	NA	NA	0.7077031	NA
SRA1	NA	NA	1.339876	NA
NUDCD2	NA	NA	0.6246157	NA
ARAP3	NA	NA	0.5502372	NA
LARS	NA	NA	0.04837578	NA
PELO	NA	NA	0.7236022	NA
RAD50	NA	NA	0.2256451	NA
TMEM167A	NA	NA	0.3306139	NA
DNAH5	NA	NA	-0.171372	NA
EXOC3	NA	NA	0.3228198	NA
RICTOR	NA	NA	0.8081003	NA
WDR36	NA	NA	-0.5992573	NA
FAF2	NA	NA	1.334347	NA
SQSTM1	NA	NA	0.7445917	NA
BRIX1	NA	NA	0.4185677	NA
CSNK1A1	NA	NA	0.1194226	NA
PCYOX1L	NA	NA	0.4337415	NA
CTNNA1	NA	NA	-0.3282537	NA
GFPT2	NA	NA	3.662319	NA
VDAC1	NA	NA	1.016619	NA
CLTB	NA	NA	1.242328	NA
PRRC1	NA	NA	1.053945	NA
TBCA	NA	NA	0.9094219	NA
DHX29	NA	NA	0.6662451	NA
ANKHD1	NA	NA	0.1902988	NA
LMNB1	NA	NA	0.6354145	NA
RPS23	NA	NA	-0.3112338	NA
HINT1	NA	NA	0.7946895	NA
TCERG1	NA	NA	0.4575073	NA
TMEM173	NA	NA	1.552412	NA
GPX8	NA	NA	1.266464	NA
RAPGEF6	NA	NA	1.073752	NA
RBM27	NA	NA	1.048097	NA
MBLAC2	NA	NA	-0.08974321	NA
SLU7	NA	NA	0.5391115	NA
SRP19	NA	NA	0.09906057	NA
BASP1	NA	NA	5.165827	NA
IQGAP2	NA	NA	3.93885	NA
SNX2	NA	NA	0.886974	NA
WDR70	NA	NA	0.724536	NA
FBXW11	NA	NA	-0.5391238	NA
SKP1	NA	NA	1.007892	NA
PHAX	NA	NA	1.538588	NA
ISOC1	NA	NA	0.6943008	NA
SRFBP1	NA	NA	0.5676547	NA
SDHA	NA	NA	0.4509077	NA
WDR41	NA	NA	0.6776209	NA
TBC1D9B	NA	NA	1.127167	NA
MSH3	NA	NA	3.671802	NA
TARS	NA	NA	1.079361	NA
YIPF5	NA	NA	0.7817201	NA
NNT	NA	NA	4.141678	NA
C5orf51	NA	NA	0.9270759	NA
CMBL	NA	NA	1.265317	NA
EMB	NA	NA	2.466601	NA
PRKAA1	NA	NA	0.3934163	NA
COMMD10	NA	NA	0.2085173	NA
ZFYVE16	NA	NA	0.8193271	NA
ETF1	NA	NA	-0.253556	NA
NADK2	NA	NA	0.7145402	NA
FBXO38	NA	NA	0.6017339	NA
RUFY1	NA	NA	0.8705028	NA
TRIO	NA	NA	0.06087747	NA
NPM1	NA	NA	0.2179947	NA
MTX3	NA	NA	0.645425	NA
SKIV2L2	NA	NA	0.1072615	NA
RAI14	NA	NA	0.7943535	NA
DIAPH1	NA	NA	0.9068136	NA
SEC24A	NA	NA	0.4824375	NA
ALDH7A1	NA	NA	1.103614	NA
PPP2R5D	NA	NA	0.3726179	NA
RNGTT	NA	NA	-0.05731664	NA
BAG2	NA	NA	-0.4367591	NA
ZNF451	NA	NA	-0.5442979	NA
SNX9	NA	NA	-0.2960863	NA
C6orf211	NA	NA	0.171139	NA
MAPK14	NA	NA	0.01335505	NA
EEF1E1	NA	NA	-0.03741398	NA
BPHL	NA	NA	0.138733	NA
DEF6	NA	NA	-0.102114	NA
POLR1C	NA	NA	-0.5353736	NA
BCLAF1	NA	NA	-0.4271879	NA
ATG5	NA	NA	0.07217448	NA
PPIL1	NA	NA	-0.3664532	NA
NOL7	NA	NA	-0.4784065	NA
DNPH1	NA	NA	-0.3794886	NA
RAB23	NA	NA	0.2001236	NA
PREP	NA	NA	0.08779463	NA
ME1	NA	NA	-0.1092965	NA
RPS10	NA	NA	-0.4777232	NA
MYO6	NA	NA	-0.172284	NA
HBS1L	NA	NA	0.00285724	NA
TPBG	NA	NA	-1.074942	NA
NUDT3	NA	NA	-0.6738768	NA
UTRN	NA	NA	0.7080534	NA
NT5E	NA	NA	2.152118	NA
TDP2	NA	NA	-0.9906203	NA
SRSF3	NA	NA	-0.07667848	NA
PEX3	NA	NA	-0.2532659	NA
SF3B5	NA	NA	-0.1954215	NA
TJAP1	NA	NA	0.04809325	NA
BCKDHB	NA	NA	-0.03120877	NA
FUCA2	NA	NA	-0.2705126	NA
FGFR1OP	NA	NA	0.5713958	NA
SNRPC	NA	NA	-0.4160767	NA
TUBB2A	NA	NA	0.6144743	NA
TUBB2B	NA	NA	0.6067355	NA
PRPF4B	NA	NA	-0.2148596	NA
RIPK1	NA	NA	0.3966432	NA
RPS12	NA	NA	-0.3772348	NA
DSP	NA	NA	0.1709506	NA
WTAP	NA	NA	-0.2553739	NA
LRRC16A	NA	NA	0.4209036	NA
CDKAL1	NA	NA	0.5892639	NA
PTPRK	NA	NA	0.2907434	NA
EPB41L2	NA	NA	-0.1529492	NA
VTA1	NA	NA	-0.1070409	NA
