gene	Protein-HCT116-5-4	Protein-RPE-1-21-3	Protein-RPE-1-5-3-12-3
DNAJC2	-0.2209866	-0.349252	-0.0503276
SUN1	-0.1340321	-0.1336951	-0.5775377
DAGLB	-0.472439	-0.02644591	-0.2451305
CBX3	-0.05905522	NaN	0.5884218
ZYX	1.014533	0.300786	-0.1575611
PMPCB	0.03667874	0.3025465	0.2987436
PPIA	0.05465472	-0.1768333	-0.5149049
MAD1L1	0.08746284	-0.7292032	-0.4329595
ARFGEF1	-0.1322157	-0.07655907	-0.2515677
PLEKHF2	0.1866512	NaN	NaN
EIF4EBP1	-0.5027504	0.3312818	NaN
DECR1	0.3295596	0.4029885	0.2135208
RBPMS	-0.643098	-0.5111644	-0.8593584
LSM1	-0.2865446	0.05135434	0.1252895
PCM1	0.4802017	-0.4721758	0.07322632
CNOT7	-0.04489555	-0.3619929	-0.1645289
MSRA	0.1463945	0.2791437	0.5615368
RAD21	-0.1644963	-0.6969731	-0.3756233
LACTB2	-0.539184	0.6267805	0.3863175
VPS28	-0.1191854	-0.0246034	-0.1327742
LYPLA1	-0.4403167	0.3288778	0.4085504
FABP5	-1.47903	0.2700687	0.3141405
ATP6V1B2	0.2303987	0.7689854	0.3616574
ATP6V1C1	0.1223414	0.5305724	0.4623758
KHDRBS3	0.2907367	NaN	NaN
FAM203B	-0.5727577	-0.17465	0.1166451
FAM203A	-0.5727577	-0.17465	0.1166451
COPS5	-0.2283368	0.1385527	0.04599723
PTDSS1	0.4337724	0.3154147	0.203502
C8orf33	-1.386827	-0.2255217	NaN
TATDN1	-0.001430889	-0.1164978	0.125998
RPS20	-0.3173368	-0.270828	-0.09098884
RPL8	-0.1415267	-0.3328512	-0.06873957
PTK2	-0.6234261	0.1081454	-0.2184712
EIF3E	0.2441458	-0.1575611	0.01635145
DERL1	0.2701536	-0.02005773	-0.03068919
ASAH1	-0.257097	1.959486	1.470009
EMC2	-0.8825176	-0.2513252	-0.1235338
SLC39A14	-0.1903057	0.1245502	0.2159484
LRRC14	0.5229242	NaN	NaN
RRS1	-0.3677962	-0.2609891	0.4948204
TSTA3	0.4040414	0.6303046	0.07810666
PLEC	-0.1996238	0.07656935	0.03414558
DGAT1	0.5707543	NaN	NaN
COX6C	0.1003707	-3.232001	-0.3933064
PROSC	-0.1984771	0.2518308	0.03321512
GSR	0.01777946	0.6356068	0.3613237
ARMC1	-0.06669934	-0.1852322	-0.03134234
MCM4	0.4051638	-1.359352	-0.8980149
UBE2V2	0.1394695	NaN	-3.005364
GTF2E2	-0.4034083	-0.2645966	-0.2723816
IMPA1	0.4148932	0.2932529	0.4115407
FDFT1	-0.2379319	0.1004067	0.3445382
YWHAZ	0.0647449	-0.05672219	0.04395828
KIF13B	0.479397	-0.5433969	-0.02643775
MRPS28	0.09265997	-0.6602897	0.08427266
MRPL13	-0.1682842	-0.01149568	0.3529711
EEF1D	0.3076742	-0.3904476	-0.3692711
MRPL15	-0.3312677	-0.2021357	0.07969148
GGH	1.05471	0.2946679	-0.1139672
CPNE3	-0.1008862	0.07069372	0.1947571
ENY2	-0.5143645	-0.4951643	0.2161159
IKBKB	0.4442278	0.2665068	0.3332617
TACC1	0.4891213	0.07462332	0.002801627
SNTB1	2.664968	NaN	NaN
CPSF1	-0.2253906	-0.3238888	0.02497155
UBR5	-0.3102178	-0.6720179	-0.3619929
FNTA	-0.05611817	0.1711734	0.03360936
ERLIN2	-0.2469774	0.143102	0.1086897
GSDMD	0.2957583	-0.6358008	-0.2684868
AGPAT5	0.2614706	-0.03646807	0.3275113
BOP1	-0.3864872	-0.2549568	0.1083786
KIAA0196	0.2786416	0.2742327	0.204765
CYC1	0.1521751	0.3660946	0.4780045
RPL7	-0.2320741	-0.3354833	-0.1040683
POMK	-0.4187971	-0.2359059	-0.561496
RAB2A	0.1740229	-0.1272371	-0.2554402
GINS4	-0.07617025	-0.3330024	-0.4164073
HOOK3	0.4628899	-0.5425057	-0.569491
VDAC3	0.11703	0.1848673	0.306591
BIN3	0.0458764	-0.05074545	0.5734884
KIAA1429	-0.1507584	-0.5842891	-0.2203299
EEF1D	0.3076742	NaN	NaN
VCPIP1	0.02380636	0.7654496	0.4945765
PUF60	-0.352179	-0.4029403	-0.2249046
RRM2B	0.1106305	1.749426	0.8342272
SH2D4A	-0.5509511	0.5932892	-0.3937456
MTERFD1	-0.4847807	NaN	NaN
MTMR9	0.8172139	0.1493286	0.1205905
TMEM70	0.1560082	-0.1264442	0.4426732
FAM91A1	0.09990108	-0.06115411	-0.08569663
STAU2	0.1150671	0.4791604	0.06121431
ELP3	-0.238085	-0.5403429	-0.2194628
ATAD2	-0.1851297	-1.625433	-0.4420469
TRAPPC9	0.2395973	0.745115	NaN
OTUD6B	-0.3473224	0.07574909	NaN
CCAR2	-0.1385686	-0.4743582	-0.3185771
POLR3D	-0.0511545	0.04424085	-0.1492594
ERI1	-0.339838	-0.01826826	0.3346983
RBM12B	0.1247251	-0.08202131	0.2947387
RDH10	0.5641342	2.069633	NaN
PDP1	-0.23711	0.1841624	0.7262813
TRAM1	0.1609202	0.03218213	-0.09058251
RPL30	-0.296226	-0.3533233	-0.1423481
POLB	0.5412174	-0.0238941	0.4296148
UQCRB	0.1779815	-2.375874	-0.001730151
NDUFB9	0.04517442	-2.96643	0.05944976
INTS9	-0.5356245	0.05251619	-0.1315894
SPAG1	0.4376906	0.04039308	-0.2720585
POP1	-0.7540662	-0.4177041	-0.2835663
ASPH	0.06230088	0.6697171	0.238119
CTSB	0.8050448	0.4895241	0.4469148
ATP6V1H	0.07162026	0.669304	0.1392517
TNFRSF10B	-0.5079013	0.5408514	0.806039
SDCBP	0.6156046	-0.9048887	-0.7442471
NBN	-0.03488906	-0.6807745	-0.6201557
TCEB1	0.5323669	0.04346757	0.2610507
XPO7	-0.2951103	-0.05893985	0.08072858
VPS37A	0.3058785	0.06956125	NaN
FAM49B	0.08528602	0.2811058	0.1236068
PPP3CC	0.2621926	0.306484	-0.2204538
TTI2	-0.1385204	-0.9696755	-0.1188912
DCAF13	-0.8928211	-0.4616333	0.04930766
PBK	0.6083362	-0.8237494	0.2071946
ASH2L	0.07162537	-0.2884177	0.009219362
MTDH	-0.6208857	0.162848	0.1312816
RMDN1	-0.4757759	0.168058	0.6456381
MAK16	-0.4032365	0.07145156	-0.01578305
PPP2R2A	0.2764701	0.1253368	0.3977522
TCEA1	-0.5204176	-0.5145011	-0.05783149
INTS8	-0.2181632	-0.2001491	-0.2186157
ASAP1	0.4068258	0.1747842	-0.3309026
CHMP7	-0.3013334	-0.1415635	-0.2877087
YTHDF3	-0.3530616	-0.2356045	-0.1314577
CCDC25	0.03463829	-0.1669724	0.1207803
PDLIM2	2.133103	0.374449	-0.6219932
PLEC	-0.1996238	NaN	0.3531369
PLEC	-0.1996238	0.1533429	-0.08488069
SCRIB	-0.04383923	0.04134282	0.2181283
STK3	0.5591491	0.06766658	0.03308234
ARHGEF10	0.3661404	0.06981522	-0.2753647
SORBS3	0.4220177	0.02243419	-0.3991164
ADAM9	0.1951244	-0.001153691	0.07377286
EFR3A	0.7822551	0.3078585	0.2220943
GOLGA7	0.2431659	-0.168257	-0.2501126
INTS10	-0.2916768	-0.4294284	-0.07174255
TPD52	-0.06638201	3.742439	1.566741
NAT1	0.2132539	0.4046681	0.2718444
EIF3H	0.2522414	-0.2294648	-0.01578305
AGO2	-0.1797087	-0.1467855	-0.2521735
EXOSC4	-0.3805256	-0.5753124	-0.3161325
ASPH	0.06230088	NaN	NaN
DOCK5	1.498379	0.3145532	0.1822458
IMPAD1	0.2790552	-0.363115	-0.05144161
TATDN1	-0.001430889	NaN	NaN
CHD7	-0.00384415	0.03593408	-0.024887
NUDCD1	-0.2980163	-0.06460696	-0.09626183
PYCRL	-0.4907167	0.04985643	-0.09342497
SORBS3	0.4220177	NaN	NaN
CTNNAL1	-0.2889459	0.2808706	-0.1646576
HINT2	0.3898666	-0.004321597	0.4094698
PSAT1	-0.2277258	0.5982822	1.144967
LRRC8A	0.05249495	0.02272744	0.1029455
PSMD5	-0.05028062	-0.07942925	-0.3253865
ANAPC2	0.005015464	-0.3335382	-0.5188373
PSMB7	0.1750227	-0.01206797	0.110324
HSPA5	-0.7244942	0.03883612	-0.0526941
TJP2	0.2001334	-0.5702686	-0.01749438
UGCG	0.1849238	0.3296128	0.7010837
SIGMAR1	-0.8942502	0.1996861	0.1352058
NIPSNAP3A	0.2123825	0.3663734	-0.2845142
VAV2	-0.781615	-0.03857663	-0.4644592
WDR5	-0.5274968	-0.340847	-0.3056787
SURF4	0.1654296	-0.1000357	-0.1066163
SPTLC1	0.0692898	0.2212532	0.5473202
EDF1	-0.2672706	-0.3431235	-0.316725
MRPS2	-0.2062365	NaN	-0.03266511
GLIPR2	0.992828	-0.01549757	-0.1243282
ANP32B	-0.6384405	-0.4731116	-0.171463
TUBB4B	0.3062302	-0.1194226	-0.1866273
SMC2	0.8176416	-1.057346	-0.7722235
MAN1B1	-0.05715665	NaN	-0.2262619
RAD23B	-0.6946703	0.07081506	0.1633811
URM1	-0.5695903	NaN	0.2962437
ACO1	-0.08405846	0.1659361	0.1379971
POLE3	-1.061812	-1.10658	-0.3590713
REXO4	-0.780116	NaN	NaN
MTAP	-0.8808431	0.2927756	0.2707996
TMEM245	0.01664974	0.1407778	NaN
DNAJA1	0.2724554	-0.3112707	-0.06308876
PPP6C	-0.1491581	-0.1574319	-0.1505597
TOR4A	0.2779847	-0.1260477	-0.2464689
CKS2	0.3365119	-0.9032697	0.06212834
EXOSC2	-0.2087377	-0.7222038	-0.1910572
EXOSC3	-0.4093387	-0.5834228	0.05926953
CRAT	2.093154	0.2532745	-0.03477911
RABGAP1	-1.93776	0.1637688	-0.04096258
GTF3C4	0.1253861	-0.9193783	-0.4481609
FPGS	-0.2609987	-0.162339	NaN
SURF1	0.6689307	NaN	NaN
IFT74	-0.3414924	-0.2135756	-0.1784916
AK1	0.8861314	0.5514372	0.1287714
NCBP1	-0.0665189	-0.5469561	0.006405356
RPS6	-0.1535909	-0.3985692	-0.2221863
VCP	0.1330374	0.01025064	-0.06460696
GNE	1.294242	0.01414991	-0.0443242
SH3GLB2	0.04823624	-0.0870554	-0.6228366
RPL12	-0.2276284	-0.3092926	-0.1059463
SURF6	-0.2133367	NaN	0.1403644
DCTN3	0.3234821	0.043408	0.1192283
PSIP1	-0.003961198	-0.5703658	-0.3029916
TRAF2	-0.3010399	-0.7201034	-0.6381202
C9orf142	0.7583138	-0.0859685	-0.4543866
GOLGA1	-0.02648689	NaN	NaN
PALM2-AKAP2	1.923149	0.2833338	0.04443431
AKAP2	1.923149	0.2833338	0.04443431
GRHPR	1.290455	0.3147865	-0.03941911
DDX31	-0.1907502	-0.2057748	0.003987406
UHRF2	0.1762826	0.01103543	0.005753371
STXBP1	0.8003613	0.8035943	0.7135445
SET	-0.6260934	NaN	NaN
TBC1D2	1.136012	0.2245869	0.1444568
UBQLN1	-0.1773103	-0.1401242	-0.1656869
DENND4C	0.888149	0.1730753	0.07052717
GBA2	1.357284	0.4155993	-0.0754641
CHMP5	0.4274538	-0.06460696	0.07433471
FNBP1	-0.3956739	0.03800634	-0.07688911
ALDH1B1	-0.643093	0.2820703	-1.183836
NELFB	-0.3469032	-0.4534901	-0.2940766
NANS	0.3562177	0.07293792	-0.1949696
PRPF4	-0.4101903	-0.3390233	0.07374246
NOL6	-0.7619188	-0.3718376	0.1606208
KIAA0368	-0.4518321	-0.4092551	-0.2686739
NOL8	-0.644835	NaN	NaN
KIAA1432	-0.4953946	-0.923111	-0.2619607
PMPCA	0.02955887	0.2438649	0.2318537
ARRDC1	-0.258674	NaN	0.1478094
TMEM2	0.5843853	0.3428356	-0.9474044
UBAP2	-0.6182072	-0.1292481	0.2911264
GOLM1	-0.2215559	0.155743	0.05611623
BICD2	0.389787	0.05117491	0.002050124
NUP214	0.08135932	-0.2729787	-0.1654296
B4GALT1	-0.6140941	-0.07737967	-0.2115107
TXN	0.5375446	0.6464283	0.8531884
CLTA	0.1529307	0.07921897	0.04714455
HNRNPK	0.2338009	-0.2422062	-0.08120317
PPP2R4	0.2367069	-0.01449817	0.1005614
MRPL41	-0.06894947	-0.09071803	0.4275177
PLAA	0.1139672	0.01022161	0.1685606
TPM2	-0.1009017	NaN	NaN
ANXA1	-0.1876908	0.6459767	0.4298091
NDUFA8	-0.2475976	-2.198714	-0.05658348
NCS1	-0.1924967	-0.180657	-0.1453513
NDUFB6	-0.1585904	-0.9357615	0.05509655
TPM2	-0.1009017	-0.2564068	-1.095317
SEC61B	-0.2422111	-0.1721035	0.02060377
NUDT2	-0.03442627	0.2445312	0.1762832
RNF20	-0.221416	-0.3862592	-0.1994997
POLR1E	-0.6463057	-0.4353274	-0.2062681
GNAQ	0.4540787	0.2074445	-0.05199849
RAB14	0.0167816	-0.04739888	0.02652834
PTGR1	0.1946	0.5906578	0.5991561
IKBKAP	-0.1320522	-0.2760797	-0.0416635
RCL1	-0.4937119	-0.1431322	0.139347
DPP7	0.1293882	0.03639264	-0.6527847
TRIM32	-0.1318845	0.2016757	-0.2790552
PDCL	1.819259	-0.08243006	-0.1889072
TLN1	0.5443369	0.1308866	-0.001297849
RPL7A	-0.1096822	-0.3210045	-0.007769476
PHPT1	0.4822288	0.5621544	0.8790376
LRSAM1	-0.06112878	-0.2635152	-0.2353594
SET	-0.6260934	-0.4053388	-0.07573795
GLE1	0.1090262	-0.4544918	-0.02955887
CDK9	-0.2348511	-0.1352721	0.3752722
GAPVD1	-0.03200511	0.1079743	-0.03829579
MED27	0.2822437	-0.5571895	-0.444985
PTGES2	-0.5251918	-0.01206797	0.4770202
UBAC1	0.1698856	0.4067323	0.4065602
SMU1	-0.08551203	-0.4918019	-0.1566554
MRPL50	-0.04305122	-0.04795714	0.4558509
DOLPP1	-0.0596668	-0.6680891	-0.5239632
STOML2	-0.584231	-0.406972	-0.1857398
ZCCHC6	-0.1017529	0.2219428	-0.01777946
ZCCHC6	-0.1017529	-0.1289532	NaN
PTPRD	-0.260605	-0.2426939	NaN
QSOX2	-0.4912469	-0.6702058	-0.2017593
FUBP3	-0.09324065	-0.1541943	0.2454716
FAM120A	0.2020927	-0.06873957	0.03050129
RABEPK	-0.760444	NaN	NaN
ALG2	0.2179751	0.09711605	0.3415555
SMARCA2	1.030535	-0.6298462	-0.627887
CAMSAP1	0.2642361	-0.4572266	-0.4925199
NAA35	-0.516237	0.09321114	-0.100286
ERP44	-0.1738723	0.09057249	0.1619922
SLC27A4	-0.4039808	0.1910631	0.09974172
RPL35	-0.2312609	-0.4740466	-0.1674865
DNM1	-0.862657	0.2927933	-0.9114998
SMC5	-0.09484676	-0.7410681	-0.7104372
TOR1A	-0.2242106	0.1162229	-0.02800335
GOLGA2	-0.5662802	-0.1506897	-0.2426939
HSDL2	0.335513	0.3395826	0.2454887
ARPC5L	-0.4651216	0.1527888	0.05012897
OSTF1	-0.2262672	0.4708687	-0.002738497
C9orf114	-0.4851556	-0.59579	0.04066012
UBE2R2	-0.2226586	0.3641435	0.3500075
ALAD	1.063296	0.7165997	0.6415588
FAM129B	0.2928995	0.4703689	0.3635865
HAUS6	-0.5343216	-0.7208037	-0.2740529
AK3	-0.4587331	0.3942592	0.354741
NUP188	0.1019184	-0.4327456	-0.09855441
UAP1L1	-0.2841944	0.7239918	0.3570675
VPS13A	0.4258889	0.03311192	0.2646511
GRHPR	1.290455	0.05030819	NaN
RANBP6	0.8047477	-0.1164501	0.6100368
NTMT1	-0.2284407	-0.06018578	-0.1015157
TEX10	-0.4990746	-0.225275	0.04993477
C9orf78	-0.5591181	-1.011639	-0.1281615
SPIN1	-0.5969505	-0.8861209	-0.5885469
RPS6	-0.1535909	NaN	NaN
SEC16A	0.2408638	0.118492	-0.05352836
IARS	-0.1194006	0.06561187	0.3245454
DDX58	0.5571418	0.6159944	-0.2453739
PRRC2B	-0.752364	-0.08963376	0.1473619
FOCAD	-0.2513969	0.3823253	-0.03083045
KIAA0020	-0.5689654	-0.4399954	0.07943221
HNRNPK	0.2338009	-0.4712395	-0.2115107
RABL6	0.2228706	-0.3076616	-0.3890161
SPTAN1	0.6544355	0.1204668	-0.06626154
SPTAN1	0.6544355	0.2083657	0.4408671
FKBP15	0.4839834	-0.2118844	-0.351063
PTBP3	-0.3742059	-0.30381	-0.2630344
BCCIP	-0.9532435	-0.2753647	0.1384893
ANXA7	0.1234014	0.1981791	0.005999677
EIF4EBP2	0.1569002	0.4223371	0.4315592
ARL3	0.3848234	0.1144412	0.1183353
HNRNPF	-0.1395203	-0.585251	-0.559247
MKI67	0.6956376	-1.087055	0.2188333
CHUK	-0.182868	-0.3491388	-0.3419858
TIAL1	-0.1469403	-0.222681	-0.07696954
CDC123	-0.516286	-0.3126651	0.03837666
BMS1	-0.6019262	-0.3563693	-0.01278327
LIPA	-0.02747287	1.233583	1.360601
ERLIN1	-0.2696339	-0.3039269	-0.2088918
GLRX3	-0.01380024	-0.2161133	0.1380446
ALDH18A1	-0.669121	-0.1368476	-0.3777345
PIP4K2A	-0.1199336	0.1911455	0.6694188
PFKP	0.4385058	-0.3960498	-0.4087119
P4HA1	0.7817504	-0.2498701	-0.5908176
CTBP2	-0.09945876	-0.5838079	-0.4513299
PDLIM1	-0.2379763	0.1551162	-0.4871776
HELLS	0.1614338	-0.5814958	-0.1853592
EXOC6	0.2805951	-0.00950285	-0.06736333
HSPA12A	0.3253644	-0.0779266	0.1544417
PSAP	-0.4355168	1.024884	2.001097
IFIT5	0.4081684	0.02080873	-0.3103401
KIF5B	0.1995054	0.007927733	-0.1248575
RGS10	0.1292171	-0.3153344	-0.3613193
BUB3	-0.2444458	-0.3068455	0.07374246
HNRNPH3	-0.911967	-0.2605076	-0.2327835
AIFM2	1.323024	0.3038638	0.4908615
CUL2	-0.004638512	-0.09558698	0.1025736
DNAJB12	-0.5300723	-0.48656	-0.02502883
RAB18	0.06439996	-0.1457426	-0.09383053
PPA1	-0.5302514	0.01933129	0.09918534
DOCK1	0.6560844	0.01380023	-0.1765781
HPS6	0.0478748	0.3423768	0.05679133
TUBAL3	0.109335	-0.000865332	-0.1159653
COMMD3	-0.03100754	-0.08283252	-0.2381754
DDX21	-0.7204463	-0.9697492	-0.2418402
SAR1A	0.7394083	-0.2103887	-0.2858164
THNSL1	-0.7441729	0.2238286	0.9821267
SIRT1	-0.4391285	-0.863124	-0.2834576
RSU1	0.8084823	0.3025465	-0.1798931
KIN	-0.6357056	-0.3781356	-0.7771865
HK1	0.5137774	0.5952277	0.2851082
IFIT1	2.124451	0.417078	0.6573086
SVIL	0.1177249	0.07796963	-0.1553607
RPP38	0.1202008	-0.2945699	-0.212009
RPP30	0.07065593	-0.2047668	0.03692549
GSTO1	0.2526579	0.6439914	1.087151
PI4K2A	-0.1401137	0.4846508	0.7724314
STAM	0.373843	0.1523237	0.2964386
CISD1	-1.558864	-0.2919571	0.02947024
TFAM	-0.4834603	-0.2002533	0.4538736
MYOF	0.98448	0.3586389	0.2821053
PRPF18	-0.2297996	-0.9746761	-0.2489295
GBF1	0.2939029	-0.05255497	-0.006046579
OAT	0.1660727	0.1860157	-0.1098286
SLK	-0.1116639	-0.1765781	-0.256286
VDAC2	-0.06160131	-0.4162318	-0.3521936
POLR3A	-0.6337962	0.2290993	0.08836205
IFIT3	2.056014	0.3510191	0.5084239
ACADSB	0.2565617	0.02973527	0.1415733
SEC24C	0.4019342	0.1195417	0.07737578
BTAF1	-0.09330947	-0.5627674	-0.2403755
PRDX3	-0.1584511	0.2854072	0.4155185
ECHS1	0.2346368	0.1489766	0.573102
SMNDC1	-0.3042912	-0.5407006	-0.3373114
NPM3	-0.496346	-0.3555802	-0.1154328
PPIF	-0.4711657	0.1360774	0.2096283
CDK1	-0.00739134	-0.6497535	0.1282194
SEC23IP	0.1683757	0.005188662	-0.04362446
ECD	0.2791741	0.1383146	0.4817469
FAM107B	-0.6433207	-0.3577209	-0.0657101
PPP3CB	-0.552052	NaN	NaN
NDUFB8	0.0998031	-3.042049	-0.03210086
EIF3A	0.3064823	-0.2007554	-0.01906126
SEPHS1	-0.3009551	-0.1654296	-0.06626154
ACTR1A	0.3986672	0.1332898	0.07048164
TUBGCP2	0.0592783	-0.3430097	-0.1966071
AKR1C2	4.300185	5.440655	NaN
RPS24	-0.2836499	-0.3674829	-0.1943392
PAPSS2	1.118247	0.3248705	0.06505319
TACC2	0.06488286	NaN	NaN
TM9SF3	-0.2400772	0.003495609	0.04954647
GDI2	0.1236661	0.03762135	0.07381845
DDX50	0.02431962	-0.7076132	-0.3553546
AP3M1	0.2993322	0.1549074	0.335226
EXOSC1	-0.3093488	-0.4487267	NaN
MRPS16	0.335705	0.06809449	NaN
YME1L1	-0.0269545	-0.3081279	0.2301436
VTI1A	-0.1413483	-0.1795111	0.1236383
ANAPC16	0.1420655	-0.5634511	-0.3193867
USMG5	0.09383018	-1.434561	-0.1052758
DPCD	-0.2133555	-0.04383064	-0.09159765
WAC	-0.08413493	0.2323113	NaN
SGPL1	0.3000249	-0.007195524	-0.4475264
CUEDC2	-0.3473628	-0.3805724	-0.2247812
RRP12	-0.4857666	-0.2561654	0.05823258
CWF19L1	0.06556944	NaN	-0.8675615
NOC3L	-0.5704007	-0.2469553	-0.1135672
KIAA1217	0.3642362	0.4863215	-0.06667475
TRUB1	-0.06255981	0.1643183	0.1384574
MTPAP	-0.1870664	-0.05880137	NaN
MMS19	-0.1782898	0.1217849	0.1209687
DNAJC9	-0.4168813	-0.8368937	-0.5931147
REEP3	0.1432459	-0.08922691	0.1280145
TSPAN14	-1.232872	-0.298541	-0.3529844
NRP1	-0.258801	-0.2458607	NaN
PDZD8	-0.1682287	-0.3482818	NaN
ATAD1	-0.2489416	-0.1147669	0.4550399
MCU	0.03676815	0.01949666	-0.05221511
DNMBP	0.3252713	0.1064669	0.8029649
RBM17	-0.3644592	-0.4404207	-0.2277411
ACBD5	-0.1486008	-0.5848647	-0.3249257
VDAC2	-0.06160131	0.4243971	0.6829043
NOLC1	-1.019229	-0.9611046	-0.1536757
CASP7	0.3589551	-0.2861716	-0.2891262
CCAR1	0.2454957	-0.4266405	-0.2046416
ARHGAP12	-0.0900619	-0.1825441	0.4384637
ITGB1	0.2326607	0.2855127	-0.07901972
ATE1	0.0372055	0.04063036	-0.2216915
PCBD1	-0.1670993	0.07257375	-0.5026361
GOT1	0.998596	0.4165002	0.6185172
SMC3	0.1330421	-0.7657044	-0.5948352
IDI1	0.3021728	0.4230233	0.7316374
IDE	-0.0439433	-0.08474462	-0.0852886
ADD3	0.913335	-0.1856129	0.1039686
H2AFY2	-0.4158595	0.1110406	-0.2168584
ADK	0.4191074	0.07008785	0.366764
PDCD4	0.2242873	0.3448313	0.8044256
FAM160B1	0.433217	-0.132511	-0.4341344
VCL	0.03224201	0.2002495	-0.1104969
AKR1C3	4.172917	4.696265	3.532224
HSPA14	-0.1123343	-0.3936358	-0.1435239
MINPP1	-0.5822528	-0.2223099	-0.1495195
MICU1	0.2235441	-0.05561214	-0.0242117
PLAU	1.076905	-0.01549757	NaN
NUDT5	-0.16167	0.128251	0.2701907
SHOC2	-0.1732217	0.008392031	-0.01092293
SCD	0.8040101	-0.7614215	-1.304861
FAM175B	-0.101366	-0.001009547	-0.05741552
NRP1	-0.258801	-0.3491388	0.3090557
HIF1AN	0.7662136	-0.0246034	0.01589923
CUTC	-0.353393	-0.0852886	NaN
UPF2	-0.1642375	-0.2390314	-0.05297231
NHLRC2	0.3941849	-0.06474492	0.03797669
OPTN	0.6083362	0.1728639	-0.1398623
KIF11	-0.1250011	-0.502738	-0.1373724
PLEKHA1	-0.2517235	NaN	-0.7351756
ABLIM1	-0.05604596	-0.4516463	-0.1426094
HERC4	0.0038592	-0.1068843	0.2803347
WAPAL	-0.6112263	-0.6423781	-0.4236319
JMJD1C	-0.8871531	-0.5107595	-0.1935825
GTPBP4	-0.3438973	-0.4928273	0.2313287
ATP5C1	0.1420866	0.1238898	0.3443001
PDCD11	-0.9997562	-0.3011193	0.04015575
VPS26A	0.1129003	0.1319612	0.1255885
DLG5	0.4041402	-0.1149001	-0.2508404
WDR11	-0.1295804	-0.05408444	0.3034541
SUPV3L1	-0.3910401	0.1849493	0.260031
MARCH5	0.6807534	-0.3106892	-0.0271541
ERCC6	5.989924	-0.5443864	-0.9505431
VIM	0.9411315	0.05523146	-0.002882469
COX15	0.1660727	0.4609654	0.2919098
ABI1	0.0277779	0.2552189	0.08613979
ASCC1	-0.4596685	NaN	NaN
ASCC1	-0.4596685	0.03602282	-0.1650436
KIAA1598	-0.03115113	-0.03012423	-0.2709474
FAM21A	0.288772	NaN	NaN
FAM21C	0.288772	NaN	NaN
CCNY	-0.0182263	0.5202313	0.2974134
PARG	-0.5461232	-0.3265373	0.2966813
MGEA5	-0.2053138	0.09819661	0.3181101
KIAA1279	0.6568764	-0.2869994	-0.1160985
NMT2	0.066069	NaN	0.2217746
PGAM1	0.4619476	0.2730991	0.1618469
GHITM	-0.0677574	1.099247	0.6798273
CSTF2T	-0.1438669	-0.3735681	NaN
MCMBP	-0.4395981	-0.9588798	-0.5444854
TIMM23	0.335814	-0.04530323	0.0614508
TIMM23B	0.335814	-0.04530323	0.0614508
BAG3	-0.07795446	0.3371565	0.4984844
DHX32	0.2413597	0.05902901	-0.5687131
TIAL1	-0.1469403	0.03742881	NaN
C10orf76	-0.8933196	-0.2503553	-0.2605076
UROS	0.1719061	0.3455277	0.3502097
PITRM1	0.07158765	0.1919032	0.3422869
FAM21A	0.288772	0.2553738	0.2410828
FAM21B	0.288772	0.2553738	0.2410828
FAM21C	0.288772	0.2553738	0.2410828
XPNPEP1	-0.1894211	0.1063583	-0.04516339
SFXN3	0.7497386	0.1353484	0.5034866
NFKB2	0.3701707	-0.220206	-0.2092662
CCDC6	-0.009627083	-0.168642	-0.4766409
ANXA11	0.5793732	0.2101789	0.05470698
TIMM23	0.335814	NaN	NaN
TIMM23B	0.335814	NaN	NaN
ANK3	-0.060307	0.110014	-0.0516418
ERCC6	5.989924	0.5541466	-0.8871717
C10orf118	0.4270697	0.1221773	-0.4548076
PITRM1	0.07158765	-0.5388361	-0.4850146
LARP4B	-0.4447924	-0.2078929	0.02029652
HRAS	0.07942928	0.03871759	-0.07901972
CD81	-0.1881838	-0.7082314	-0.956131
OTUB1	0.007339063	-0.01406949	0.06893732
MRPL16	-0.1473859	-0.02587928	0.4733503
HYOU1	-0.6822349	-0.04418428	-0.1044708
RBM7	-0.4521844	-0.5394319	-0.4619476
TIMM10	-0.9517245	-0.1174291	0.2585459
PRCP	0.2133337	0.3793761	0.06375598
VPS51	-0.05246097	-0.03590542	-0.006682202
ENDOD1	0.06557227	0.460191	0.01232991
FAM118B	-0.1545541	-0.1583453	-0.2783502
FKBP2	0.3470986	-0.02147971	0.2411169
PIK3C2A	0.08106696	0.03389446	-0.1255188
SLC25A22	-0.965615	0.070921	0.3335343
DRAP1	-0.270696	-0.3823906	-0.181675
ARL2	0.3367628	-0.1728715	-0.1151664
C11orf58	-0.05535138	-0.02431958	0.2550467
RBM4B	-0.08662131	-0.2701102	-0.3530975
RBM4	-0.5690576	-0.2701102	-0.3530975
ACP2	0.126512	0.7058371	0.5218047
MTCH2	0.01623445	0.4745124	0.6343747
HSPA8	0.1340576	-0.2060179	0.0728166
EXT2	-0.6025439	2.06551	0.7363563
CLNS1A	-1.195153	0.1043655	0.107881
PRPF19	-0.2073278	-0.3846025	0.002787037
SSRP1	-0.3808218	-0.7765251	-0.2958405
RAD9A	0.09963177	-0.6017917	-0.4030632
MRPL11	-0.1088029	-0.2262619	0.2265607
CORO1B	0.5501182	0.4085888	0.3257744
IPO7	-0.3451033	-0.3766238	-0.08556066
